"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2008&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 16:57:02 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",59,0,0
"191 Peachtree Tower","GA",11,"--","--"
"2 AC Station","IN",29562,7,262
"491 E 48th Street","MI",5542,0,17
"500MW CC","NY",1030785,6,70
"59th Street","NY",1363,0,523
"74th Street","NY",404,358,225
"A B Brown","IN",3398288,9073,4892
"A L Pierce","CT",3590,0,4
"ABC Coke","AL",2774,0,82
"ACE Cogeneration Facility","CA",817892,661,517
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,203
"AES Alamitos LLC","CA",1463098,8,204
"AES Beaver Valley Partners Beaver Valley","PA",1141787,1131,2117
"AES Deepwater","TX",1083603,2931,739
"AES Hawaii","HI",1476076,769,949
"AES Huntington Beach LLC","CA",895980,5,62
"AES Petersburg","IN",11620144,20350,14333
"AES Redondo Beach LLC","CA",198941,1,49
"AES Thames","CT",1542168,57,383
"AES Warrior Run Cogeneration Facility","MD",1517831,2109,445
"AG Processing Inc","IA",169240,1670,1184
"AL Sandersville LLC","GA",9526,0,2
"AMEA Peaking","AL",4335,0,3
"ANP Bellingham Energy Project","MA",828963,4,58
"ANP Blackstone Energy Project","MA",757802,4,52
"Aberdeen CT","SD",1568,0,3
"Abilene Energy Center Combustion Turbine","KS",4175,0,25
"Acadia Energy Center","LA",347514,2,186
"Ada Cogeneration LP","MI",125161,1,307
"Adrian","MN",10,0,1
"Adrian Energy Associates LLC","MI","--",0,320
"Aera San Ardo Cogen Facility","CA",57238,0,135
"Afton Generating Station","NM",290427,2,45
"Agency GT","IA",224,0,5
"Agnews Power Plant","CA",94832,0,253
"Agrilectric Power Partners Ltd","LA",260,3,53
"Agua Fria","AZ",103962,0,326
"Agua Mansa Power Plant","CA",31179,0,4
"Aidlin Geothermal Power Plant","CA",3519,"--","--"
"Air Products Port Arthur","TX",459891,3,1260
"Airport Industrial","CO",160,0,7
"Al Turi","NY","--",0,63
"Alabama Pine Pulp","AL",16372,3490,761
"Alabama River Pulp","AL",33816,2536,821
"Alameda","CA",599,0,19
"Alamosa","CO",788,0,5
"Albany","MO","--",0,1
"Albany Paper Mill","OR",202335,1,420
"Albemarle Hospital Unit","NC",32,0,1
"Albemarle Prime Power Park","NC",16,0,3
"Albertville","AL",2,0,2
"Alden Bailey Power Plant","OR",39,0,1
"Alexandria","MN",35,0,3
"Algona","IA",57,0,4
"Algonquin Windsor Locks","CT",212153,2,242
"Aliso Water Management Agency","CA",1411,0,123
"Allegany Cogen","NY",14938,0,71
"Allegheny Energy Units 3 4 & 5","PA",52815,0,7
"Allen","TN",5098071,11336,7314
"Allen S King","MN",3031981,1631,1539
"Alliance Refinery","LA","--",0,63
"Alliant Energy Neenah","WI",17671,0,5
"Alliant SBD 8501 Aegon LI","IA",14,0,1
"Alliant SBD 8601 Quad Graphics","IA",8,0,0
"Alliant SBD 8602 Marion Sub","IA",341,0,3
"Alliant SBD 9106 Rockwell CR","IA",1131,0,11
"Alliant SBD 9107 JBS USA","IA",136,0,3
"Alliant SBD 9201 Norplex","IA",64,0,1
"Alliant SBD 9203 Profol","IA",1,0,2
"Alliant SBD 9205 A Y McDonald","IA",23,0,1
"Alliant SBD 9206 Donaldson","IA",10,0,0
"Alliant SBD 9301 Prairie Farms","IA",16,0,1
"Alliant SBD 9302 Aegon NP","IA",7,0,0
"Alliant SBD 9402 Climax","IA",840,1,16
"Alliant SBD 9403 Aegon DC","IA",78,0,2
"Alliant SBD 9502 Eaton","IA",73,0,2
"Alliant SBD 9801 Aegon Martha's Way","IA",7,0,0
"Alliant SBD 9901 Wells Fargo","IA",4,0,0
"Alliant SBD0201 Ingredion","IA",23,0,3
"Alliant SBG 9802 Toyota","IA",5,0,1
"Alliant Techsystems","MN","--",0,0
"Alloy Steam Station","WV","--",985,833
"Alma","WI",1012789,8680,3312
"Almond Power Plant","CA",36456,0,8
"Alpena Cement Plant","MI",879374,33029,2289
"Alsey","IL",8,0,0
"Alsip Paper Condominium Association","IL",26880,0,10
"Alta Municipal Utilities","IA",9,0,1
"AltaGas Pomona Energy Inc.","CA",81419,0,184
"AltaGas Ripon Energy Inc.","CA",155137,1,346
"Altamont","IL",80,0,3
"Altamont Gas Recovery","CA","--",1,379
"Altavista Power Station","VA",190452,55,282
"Amalgamated Sugar LLC Nampa","ID",20797,1806,1523
"Amalgamated Sugar Twin Falls","ID",241059,1240,366
"Amedee Geothermal Venture I","CA",117,"--","--"
"Amelia","VA",4396,2,279
"Ameresco Chicopee Energy","MA","--",0,504
"Ameresco Delaware Central","DE","--",0,221
"Ameresco Delaware South","DE","--",0,375
"Ameresco Janesville","WI","--",0,252
"Ameresco Santa Cruz Energy","CA","--",0,367
"American Crystal Sugar Crookston","MN",157759,1626,1153
"American Crystal Sugar Drayton","ND",184791,2061,1461
"American Crystal Sugar East Grand Forks","MN",344765,3365,2386
"American Crystal Sugar Hillsboro","ND",260564,757,500
"American Crystal Sugar Moorhead","MN",161465,1628,1154
"American Eagle Paper Mills","PA",148850,2370,362
"American Gypsum Cogeneration","CO",21889,0,57
"Ames Electric Services Power Plant","IA",498679,1074,1025
"Ames GT","IA",3490,1,4
"Ampersand Chowchilla Biomass LLC","CA","--",0,"--"
"Anadarko","OH","--",0,2
"Anadarko Plant","OK",559262,0,15
"Anaheim GT","CA",26064,0,5
"Anchorage 1","AK",42995,0,77
"Anclote","FL",1896313,15720,3460
"Anderson","IN",4371,0,3
"Anderson Erickson","IA",7,0,1
"Androscoggin Energy Center","ME",475512,2,54
"Androscoggin Mill","ME",98875,3328,695
"Angoon","AK",1496,1,16
"Angus Anson","SD",86043,1,42
