"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2013&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:12:44 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",139,0,0
"491 E 48th Street","MI",10585,0,30
"500MW CC","NY",1315824,15,78
"59th Street","NY",468,1,284
"74th Street","NY",186,234,191
"A B Brown","IN",2555223,6184,1638
"A L Pierce","CT",6778,0,2
"ABC Coke","AL",2016,1,219
"ABEC Bidart-Old River LLC","CA","--",0,3
"AC Landfill Energy LLC","NJ","--",0,217
"ACE Cogeneration Facility","CA",398935,21,149
"ACI Energy Partners LLC","NJ",38735,0,109
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,12
"AES Alamitos LLC","CA",878785,5,190
"AES Beaver Valley Partners Beaver Valley","PA",120558,350,256
"AES Deepwater","TX",132282,460,40
"AES Hawaii","HI",1316573,1545,870
"AES Huntington Beach LLC","CA",486480,3,44
"AES Petersburg","IN",10486680,30623,9894
"AES Redondo Beach LLC","CA",196026,1,60
"AES Warrior Run Cogeneration Facility","MD",1376366,1121,508
"AG Processing Inc","IA",115233,214,226
"AL Sandersville LLC","GA",2330,0,1
"AMEA Peaking","AL",514,0,0
"ANP Bellingham Energy Project","MA",803263,4,51
"ANP Blackstone Energy Project","MA",750622,4,45
"Aberdeen CT","SD",6423,0,30
"Acadia Energy Center","LA",1517944,8,133
"Ada Cogeneration LP","MI",100611,0,233
"Adkins Energy LLC","IL",9994,0,27
"Adobe San Jose","CA",3492,0,0
"Adrian","MN",59,0,1
"Adrian Energy Associates LLC","MI","--",0,247
"Aera San Ardo Cogen Facility","CA",39119,0,105
"Afton Generating Station","NM",277396,1,34
"Agnews Power Plant","CA",9603,0,23
"AgriReNew","IA","--",0,12
"Agrilectric Power Partners Ltd","LA",348,3,53
"Agua Fria","AZ",55424,3,157
"Agua Mansa Power Plant","CA",21493,0,3
"Aidlin Geothermal Power Plant","CA",2881,"--","--"
"Airport Industrial","CO",96,0,2
"Al Turi","NY","--",0,186
"Alabama Pine Pulp","AL",27148,3490,895
"Alabama River Pulp","AL",37011,2859,1072
"Alakanuk","AK",1727,3,36
"Alameda","CA",250,0,1
"Alamosa","CO",9027,0,26
"Albany","MO",6,0,0
"Albany Brewery","GA",111080,802,212
"Albemarle Hospital Unit","NC",69,0,1
"Albemarle Prime Power Park","NC",63,0,1
"Alexandria","MN",10,0,0
"Algona","IA",89,0,1
"Algonquin Power Sanger LLC","CA",55646,0,144
"Algonquin Windsor Locks","CT",69882,0,1
"Aliso Water Management Agency","CA",1251,0,153
"Allegany Cogen","NY",189,0,0
"Allegheny Energy Units 3 4 & 5","PA",1341279,7,106
"Allen","TN",4468277,9064,1757
"Allen S King","MN",2415525,1233,1074
"Allendale Biomass","SC","--",0,3
"Allenwood","PA","--",0,336
"Alliance Refinery","LA",28883,0,78
"Alliant Energy Neenah","WI",47513,0,14
"Alliant SBD 8501 Aegon LI","IA",17,0,0
"Alliant SBD 8601 Quad Graphics","IA",7,0,0
"Alliant SBD 8602 Marion Sub","IA",53,0,1
"Alliant SBD 9106 Rockwell CR","IA",329,1,6
"Alliant SBD 9107 JBS USA","IA",74,0,1
"Alliant SBD 9201 Norplex","IA",74,0,1
"Alliant SBD 9203 Profol","IA",324,1,6
"Alliant SBD 9205 A Y McDonald","IA",34,0,1
"Alliant SBD 9206 Donaldson","IA",38,0,1
"Alliant SBD 9301 Prairie Farms","IA",49,0,1
"Alliant SBD 9302 Aegon NP","IA",7,0,0
"Alliant SBD 9403 Aegon DC","IA",34,0,1
"Alliant SBD 9502 Eaton","IA",120,0,2
"Alliant SBD 9901 Wells Fargo","IA",8,0,0
"Alliant SBD0201 Ingredion","IA",49,0,1
"Alliant SBG 9802 Toyota","IA",10,0,0
"Alliant Techsystems","MN","--",0,0
"Alma","WI",92375,564,122
"Almond Power Plant","CA",90698,0,9
"Alpena Cement Plant","MI",1007536,26174,993
"Alpha Ridge LFG","MD","--",0,73
"Alsey","IL",3406,0,6
"Alta Municipal Utilities","IA",6,0,0
"AltaGas Pomona Energy Inc.","CA",55902,0,153
"AltaGas Ripon Energy Inc.","CA",60136,0,164
"Altamont","IL",75,0,2
"Altamont Gas Recovery","CA","--",0,257
"Altavista Power Station","VA",1640,11,1218
"Amalgamated Sugar LLC Nampa","ID",260852,1655,757
"Amalgamated Sugar Twin Falls","ID",271661,1093,603
"Amedee Geothermal Venture I","CA",41,"--","--"
"Amelia","VA",1188,2,327
"Ameresco Chicopee Energy","MA","--",0,623
"Ameresco Chiquita Canyon","CA","--",0,92
"Ameresco Dallas LLC","TX","--",0,15
"Ameresco Delaware Central","DE","--",0,291
"Ameresco Delaware South","DE","--",0,419
"Ameresco Janesville","WI","--",0,194
"Ameresco Jefferson City","MO","--",0,248
"Ameresco Johnson Canyon","CA","--",0,89
"Ameresco Keller Canyon","CA","--",0,327
"Ameresco Ox Mountain","CA","--",0,968
"Ameresco Santa Cruz Energy","CA","--",0,265
"Ameresco Stafford","VA","--",0,85
"American Crystal Sugar Crookston","MN",169299,488,313
"American Crystal Sugar Drayton","ND",194358,560,359
"American Crystal Sugar East Grand Forks","MN",352003,1015,650
"American Crystal Sugar Hillsboro","ND",319856,922,591
"American Crystal Sugar Moorhead","MN",161639,466,299
"American Eagle Paper Mills","PA",163262,2170,380
"American Gypsum Cogeneration","CO",16208,0,43
"Ames Electric Services Power Plant","IA",325690,658,588
"Ames GT","IA",785,0,1
"Amherst College Co Gen","MA",13119,5,36
"Ampersand Chowchilla Biomass LLC","CA",54,12,15
"Anadarko Plant","OK",388039,0,11
"Anaheim GT","CA",46870,0,10
"Anchorage 1","AK",18988,0,53
"Anclote","FL",1021871,1181,745
"Anderson","IN",4489,0,3
"Anderson Erickson","IA",5,0,0
"Anderson Power Products Division","MA",1,0,0
"Anderson Regional Landfill","SC","--",0,174
"Androscoggin Energy Center","ME",374571,2,37
"Androscoggin Mill","ME",14166,2944,1009
"Angoon","AK",1346,2,27
"Angus Anson","SD",29134,0,11
"Anheuser-Busch Jacksonville","FL",40314,0,108
"Anheuser-Busch St Louis","MO",188493,2539,503
"Aniak","AK",1861,3,39
"Animas","NM",75174,0,177
"Anita","IA",24,0,0
"Ansley","NE",11,0,0
"Anson Abenaki Hydros","ME",75280,84,153
"Anson County Generation Facility","NC",59146,0,43
"Antelope Station","TX",55879,0,1250
"Antelope Valley","ND",6717164,12386,10579
"Anthony","KS",571,0,14
"Apache Station","AZ",2405127,3397,5003
"Apex Generating Station","NV",172707,1,38
"Apple Data Center - Fuel Cell 1&2","NC","--",0,0
"Arapahoe","CO",892301,2586,1948
"Arapahoe Combustion Turbine Project","CO",10105,0,2
"Arcadia Electric","WI",321,0,7
"Arcanum","OH",16,0,0
"Arcanum Peaking","OH",6,0,0
"ArcelorMittal Burns Harbor","IN",124030,34,1813
"ArcelorMittal Indiana Harbor West","IN",118891,30,950
"ArcelorMittal Warren","OH",33642,1,117
"Arcelormittal Cleveland Inc","OH",32527,15,25
"Archbald Power Station","PA",12521,0,9
"Archer Daniels Midland Cedar Rapids","IA",2324668,2684,1677
"Archer Daniels Midland Clinton","IA",1781544,370,2361
"Archer Daniels Midland Columbus","NE",931842,1827,1839
"Archer Daniels Midland Decatur","IL",3711046,8016,1981
