"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2015&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:18:11 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",15,0,0
"491 E 48th Street","MI",14136,0,40
"500MW CC","NY",1148355,6,67
"59th Street","NY",77,0,257
"74th Street","NY",578,63,160
"A B Brown","IN",2546656,6298,1940
"A L Pierce","CT",1559,0,0
"ABC Coke","AL",6833,1,198
"ABEC Bidart-Old River LLC","CA","--",0,322
"AC Landfill Energy LLC","NJ","--",0,127
"ADS Renewable Energy-Wolf Creek LLC","GA","--",0,206
"AES Alamitos LLC","CA",662808,3,46
"AES Beaver Valley Partners Beaver Valley","PA",27025,38,46
"AES Huntington Beach LLC","CA",413816,2,32
"AES Petersburg","IN",8968578,25072,11274
"AES Redondo Beach LLC","CA",311901,2,29
"AES Warrior Run Cogeneration Facility","MD",1214249,989,402
"AG Processing Inc","IA",129937,229,255
"AL Sandersville LLC","GA",4795,0,1
"AMEA Peaking","AL",44839,0,26
"ANP Bellingham Energy Project","MA",1019810,5,62
"ANP Blackstone Energy Project","MA",867747,4,57
"Aberdeen CT","SD",4811,0,18
"Acadia Energy Center","LA",2564273,13,204
"Ada Cogeneration LP","MI",94885,0,215
"Adkins Energy LLC","IL",19696,0,53
"Adobe San Jose","CA",2926,0,0
"Adrian","MN",16,0,0
"Adrian Energy Associates LLC","MI","--",0,280
"Aera San Ardo Cogen Facility","CA",33021,0,89
"Agnews Power Plant","CA",16264,0,38
"AgriReNew","IA","--",0,21
"Agrilectric Power Partners Ltd","LA",135,4,64
"Agua Fria","AZ",76439,15,230
"Agua Mansa Power Plant","CA",7754,0,1
"Aidlin Geothermal Power Plant","CA",3476,"--","--"
"Airport Industrial","CO",37,0,1
"Akron WRF","OH","--",0,717
"Al Turi","NY","--",0,140
"Alabama Pine Pulp","AL",31128,3366,899
"Alabama River Pulp","AL",55465,2679,976
"Alakanuk","AK",1533,3,32
"Alameda","CA",1582,0,4
"Alamosa","CO",3168,1,10
"Albany Medical Ctr Cogen Plant","NY",28594,0,78
"Albemarle Hospital Unit","NC",61,0,1
"Albemarle Prime Power Park","NC",136,0,3
"Alden Bailey Power Plant","OR",292,0,1
"Algona","IA",60,0,1
"Algonquin Power Sanger LLC","CA",58656,0,136
"Algonquin Windsor Locks","CT",69759,2,6
"Aliso Water Management Agency","CA",5,0,0
"Allegany Cogen","NY",47920,0,102
"Allen","TN",3325639,6306,1332
"Allen S King","MN",2843041,1488,1287
"Allendale Biomass","SC","--",35,33
