"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2011&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:10:06 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Anson Abenaki Hydros","ME",88293,328,153
"Anson County Generation Facility","NC",130230,1,88
"Antelope Station","TX",68078,0,1524
"Antelope Valley","ND",5863665,12616,9569
"Anthony","KS",1343,0,32
"Apache Station","AZ",2053412,3548,4209
"Apex Generating Station","NV",398748,2,62
"Arapahoe","CO",734904,1678,1782
"Arapahoe Combustion Turbine Project","CO",84171,0,26
"Arcadia Electric","WI",396,0,8
"Arcanum","OH",21,0,0
"Arcanum Peaking","OH",26,0,1
"ArcelorMittal Burns Harbor","IN",172526,33,1896
"ArcelorMittal Indiana Harbor West","IN",122671,25,804
"ArcelorMittal Warren","OH",47408,15,88
"Arcelormittal Cleveland Inc","OH",49477,13,30
"Archbald Power Station","PA",15409,0,9
"Archer Daniels Midland Cedar Rapids","IA",2405416,2817,2145
"Archer Daniels Midland Clinton","IA",1770828,421,1589
"Archer Daniels Midland Columbus","NE",978032,1981,6769
"Archer Daniels Midland Decatur","IL",4037632,6949,2091
"Archer Daniels Midland Des Moines","IA",146913,1443,935
"Archer Daniels Midland Lincoln","NE",135795,1357,879
"Archer Daniels Midland Mankato","MN",115584,1155,749
"Archer Daniels Midland Peoria","IL",542943,1289,15
"Archer Daniels Midland Southport","NC",8023,0,22
"Argus Cogen Plant","CA",1525407,415,1510
"Argyle","WI",7,0,0
"Arlington Valley Energy Facility","AZ",462858,2,35
"Armstrong","PA",86041,0,21
"Arnold","NE",7,0,0
"Arsenal Hill","LA",46793,6,149
"Arthur Kill Generating Station","NY",950335,5,755
"Arthur Von Rosenberg","TX",711750,3,1877
"Arvada","WY",799,0,2
"Arvah B Hopkins","FL",615625,19,219
"Asbury","MO",1264950,8121,1115
"Asbury Park Press","NJ",2752,0,61
"Ascend Performance Materials Texas Inc.","TX",184953,1,339
"Ashdown","AR",452522,5308,2077
"Asheville","NC",1891358,2034,967
"Ashland","KS",84,0,2
"Ashland Inc","MO",81333,"--","--"
"Ashtabula","OH",164923,1,425
"Aspen Biomass Power Plant","TX","--",8,74
"Astoria Energy","NY",1365993,10,140
"Astoria Energy II","NY",581662,3,1607
"Astoria Gas Turbines","NY",40767,16,294
"Astoria Generating Station","NY",857749,69,517
"Atascosita","TX","--",0,692
"Athens Generating Plant","NY",1579056,8,101
"Athens Regional Medical Center","GA",287,0,5
"Atlantic","IA",101,0,0
"Attala","MS",599116,3,35
"Attica","KS",29,0,0
"Auburn","NE",187,0,5
"Auburn LFG Energy Facility","NY","--",0,119
"Auburn State Street","NY",206,0,1
"Auburndale Peaker Energy Center","FL",29323,0,22
"Audrain Generating Station","MO",65348,0,15
"Augusta Electric Plant No 1","KS",0,0,0
"Augusta Electric Plant No 2","KS",132,0,3
"Auke Bay","AK",1403,0,9
"Aurora","IL",32370,0,14
"Aurora Energy LLC Chena","AK",345429,498,787
"Austin Downtown","MN",98,0,0
"Austin Gas Recovery","TX","--",0,588
"Austin Northeast","MN",16729,188,72
"Avenue A Generator Sets","IL",32,0,0
"Avon Lake","OH",2302792,29067,4227
"Avon Park","FL",570,0,1
"Axiall Natrium Plant","WV",738411,6013,1840
"Axiall Plaquemine","LA",1081187,6,3267
"B Braun Medical","CA",36275,0,100
"B C Cobb","MI",1517401,6537,1914
"B E Morrow","MI",495,0,1
"B L England","NJ",268671,1153,523
"BASF Freeport Works","TX",404665,2,1096
"BC Landfill Energy LLC","NJ","--",0,558
"BJ Gas Recovery","GA","--",0,77
"BNWRD","IL",12,0,0
"BP Naperville Cogeneration Facility","IL",26885,0,74
"Baconton Power Plant","GA",103645,1,77
"Badger Creek Limited","CA",86506,0,233
"Bailly","IN",2543036,2323,1791
"Baldwin City Plant No 1","KS",38,0,0
"Baldwin City Plant No 2","KS",614,0,14
"Baldwin Energy Complex","IL",12853777,17290,4329
"Bancroft","IA",7,0,0
"Bank of America Plaza","GA",6,0,0
"Baptist Medical Center","FL",14158,0,38
"Bar Harbor","ME",138,0,3
"Barber Creek","WY",628,0,2
"Barney M Davis","TX",927130,5,248
"Barre","MA","--",0,81
"Barre Peaker","CA",3779,0,0
"Barron","WI",15,0,0
"Barrow","AK",39617,0,111
"Barry","AL",7329821,10558,5665
"Basin Creek Plant","MT",5118,0,119
"Bassett Medical Center","NY",3,0,0
"Bastrop Energy Center","TX",1022322,5,288
"Batavia Power Plant","NY",36706,0,38
"Bavarian LFGTE","KY","--",0,177
"Baxter Wilson","MS",1767163,128,5127
"Bay County Waste to Energy","FL",37020,66,206
"Bay Front","WI",96463,259,486
"Bayboro","FL",3485,1,14
"Bayer CropScience Institute Plant","WV",177127,4710,2608
"Bayonne Plant Holding LLC","NJ",179510,1,45
"Bayou Cogen Plant","TX",1372728,5,263
"Bayou Cove Peaking Power","LA",41681,0,8
"Bayswater Peaking Facility LLC","NY",56451,2,7
"Baytown","TX","--",0,210
"Baytown Energy Center","TX",1968484,9,199
"Bayview","VA",1796,0,37
