"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2007&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Nov 25 2019 16:56:37 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Anheuser-Busch St Louis","MO",330528,0,2
"Aniak","AK",2198,4,44
"Animas","NM",71354,0,190
"Anita","IA",51,0,1
"Ansley","NE",26,0,1
"Anson Abenaki Hydros","ME",108129,530,185
"Anson County Generation Facility","NC",63823,2,248
"Antelope Valley","ND",6683967,12403,11689
"Anthony","KS",1055,0,25
"Apache Station","AZ",3095436,2415,7176
"Apex Generating Station","NV",702664,4,113
"Apogee Technology Inc","MI",4,"--","--"
"Arapahoe","CO",1150761,2687,2703
"Arapahoe Combustion Turbine Project","CO",122986,1,33
"Arcadia Electric","WI",904,1,19
"Arcanum","OH",28,0,1
"Arcanum Peaking","OH",35,0,1
"ArcelorMittal Burns Harbor","IN",104365,46,2021
"ArcelorMittal Indiana Harbor West","IN",127435,27,6761
"ArcelorMittal Warren","OH",114756,875,226
"Arcelormittal Cleveland Inc","OH",31065,94,40
"Archbald Power Station","PA",20038,0,13
"Archer Daniels Midland Cedar Rapids","IA",2067187,2671,1606
"Archer Daniels Midland Clinton","IA",686221,3690,1156
"Archer Daniels Midland Decatur","IL",3840320,9658,2235
"Archer Daniels Midland Des Moines","IA",136941,420,872
"Archer Daniels Midland Lincoln","NE",89362,265,579
"Archer Daniels Midland Mankato","MN",126802,530,807
"Archer Daniels Midland Peoria","IL",729460,8524,6
"Archer Daniels Midland Southport","NC",15552,0,44
"Argus Cogen Plant","CA",1399132,435,1338
"Argyle","WI",64,0,1
"Arlington Valley Energy Facility","AZ",590638,3,46
"Armstrong","PA",47203,7,32
"Arnold","NE",23,"--","--"
"Arsenal Hill","LA",65704,0,51
"Arthur Kill Generating Station","NY",847944,4,671
"Arthur Von Rosenberg","TX",539758,3,1479
"Arvada","WY",15722,0,46
"Arvah B Hopkins","FL",518799,451,725
"Asbury","MO",1073923,8954,3773
"Asbury Park Press","NJ",3341,0,76
"Ascend Performance Materials Texas Inc.","TX",284026,1,581
"Ascutney","VT",347,1,2
"Ashdown","AR",647161,8498,2321
"Asheville","NC",2416876,479,1505
"Ashland","KS",6,"--","--"
"Ashland Inc","MO",268152,6559,675
"Ashtabula","OH",182815,1,467
"Astoria Energy","NY",1193294,9,111
"Astoria Gas Turbines","NY",58131,9,367
"Astoria Generating Station","NY",1515040,852,1431
"Atascosita","TX","--",0,846
"Athens Generating Plant","NY",1887502,10,132
"Athens Regional Medical Center","GA",225,0,4
"Atlantic","IA",398,0,2
"Attala","MS",927973,4,63
"Auburn","NE",797,0,18
"Auburn State Street","NY",229,0,1
"Auburndale Peaker Energy Center","FL",31349,0,86
"Audrain Generating Station","MO",44987,0,11
"Augusta Electric Plant No 1","KS",1,"--","--"
"Augusta Electric Plant No 2","KS",669,0,15
"Auke Bay","AK",271,1,2
"Aurora","IL",105245,1,41
"Aurora Energy LLC Chena","AK",324847,725,751
"Austin Downtown","MN",4084,0,12
"Austin Gas Recovery","TX","--",0,88
"Austin Northeast","MN",90857,1050,196
"Avenue A Generator Sets","IL",74,"--","--"
"Avon Energy Partners LLC","IL","--",0,119
"Avon Lake","OH",2687056,35174,5282
"Avon Park","FL",13706,6,47
"Axiall Natrium Plant","WV",889346,9014,667
"Axiall Plaquemine","LA",1167763,7,3654
"B Braun Medical","CA",31812,0,87
"B C Cobb","MI",2131217,9901,2649
"B E Morrow","MI",768,0,2
"B L England","NJ",1568529,2,11
"B L England","NJ","--",11550,3960
"BASF Freeport Works","TX",428250,2,1159
"BCP","CO",106637,1,448
"BJ Gas Recovery","GA","--",0,171
"BNWRD","IL",12,"--","--"
"BP Naperville Cogeneration Facility","IL",24,"--","--"
"Baconton Power Plant","GA",16841,0,12
"Badger Creek Limited","CA",178351,1,480
"Bailly","IN",2434162,3913,9179
"Baldwin City Plant No 1","KS",32,0,1
"Baldwin City Plant No 2","KS",661,0,15
"Baldwin Energy Complex","IL",13307460,23885,4558
"Balefill LFG Project","NJ","--",0,104
"Bancroft","IA",10,"--","--"
"Bank of America Plaza","GA",888,2,17
"Baptist Medical Center","FL",36637,0,98
"Bar Harbor","ME",574,1,11
"Barber Creek","WY",17029,0,50
"Barney M Davis","TX",175888,1,255
"Barre","MA","--",0,82
"Barre Peaker","CA",5716,0,6
"Barron","WI",178,0,4
"Barrow","AK",35780,0,100
"Barry","AL",12191387,46518,14654
"Basin Creek Plant","MT",41664,0,931
"Bassett Medical Center","NY",13,"--","--"
"Bastrop Energy Center","TX","--",2,130
"Bastrop Energy Center","TX",913428,2,143
"Batavia Power Plant","NY",9324,0,9
"Batesville Generation Facility","MS",782190,4,193
"Battle Mountain","NV",157,0,3
"Bavarian LFGTE","KY","--",0,316
"Baxter Wilson","MS",1086691,434,2840
"Bay County Waste to Energy","FL",76904,152,456
"Bay Front","WI",294241,1042,1442
"Bayboro","FL",54048,98,296
"Baylor University Cogen","TX",2931,0,8
"Bayonne Plant Holding LLC","NJ",145273,1,28
"Bayou Cogen Plant","TX",1151844,6,3454
"Bayou Cove Peaking Power","LA",11324,0,3
"Bayswater Peaking Facility LLC","NY",36296,4,7
"Baytown","TX","--",0,271
"Baytown Energy Center","TX",2040923,10,203
"Bayview","VA",5813,10,31
"Bayville Central Facility","NJ",250,0,26
"Bear Canyon Power Plant","CA",2944,"--","--"
"Bear Mountain Limited","CA",182278,1,491
"Beatrice","NE",176871,1,19
"Beaver","OR",191906,3,525
"Beaver City","NE",39,0,1
"Beaver Creek Gas Plant","WY",24291,0,65
"Beaver Island","MI",233,0,5
"Belews Creek","NC",12705371,78370,3112
"Belle River","MI",7892068,21041,7509
"Belleville","KS",490,0,11
"Bellevue","IA",111,0,2
"Bellingham Cogeneration Facility","MA",237028,1,174
"Bellmeade Power Station","VA",190789,7,71
"Beloit","KS",15,"--","--"
"Beluga","AK",1160130,6,3250
"Ben French","SD",200285,695,462
"Benedum Plant","TX",2429,0,57
"Benndale","MS",30,"--","--"
"Bennett Mountain","ID",104779,1,62
"Benning","DC",61563,128,49
"Benson City of","MN",152,0,3
"Benson Power Biomass Plant","MN","--",140,202
"Beowawe Power","NV",2638,"--","--"
"Bergen Generating Station","NJ",2172142,15,414
"Berkshire Power","MA",400214,2,62
"Berlin","MD",981,2,20
"Berlin 5","VT",4919,4,27
"Berlin Landfill Gas","WI","--",0,151
"Bernice Lake","AK",30060,0,84
"Berry Cogen","CA",229112,1,612
"Berry Cogen Tanne Hills 18","CA",87252,0,233
"Berry Placerita Cogen","CA",199850,1,546
"Bethany","MO",35,0,1
"Bethany II","MO",4,"--","--"
"Bethel","AK",30008,56,619
"Bethlehem Energy Center","NY",1265561,3,44
"Bethlehem Power Plant","PA",775978,15,64
"Bethpage Power Plant","NY",210139,2,49
"Big Bend","FL",8692397,8984,22793
"Big Brown","TX",8978064,69670,6013
"Big Cajun 1","LA",19428,0,12
"Big Cajun 2","LA",12350412,33773,11398
"Big Sandy","KY",6793421,42412,13596
"Big Sandy Peaker Plant","WV",96219,1,73
"Big Stone","SD",2591394,8204,9099
"Binghamton Cogen","NY",1195,0,2
"Biodyne Peoria","IL","--",0,75
"Biola University","CA",6683,0,155
"Biomass One LP","OR","--",20,113
"Birchwood Power","VA",1141734,335,499
"Biron Mill","WI",479264,5654,981
"Black Dog","MN",1814113,3138,5416
"Black Hawk Station","TX",968076,5,308
"Black Hills Ontario Facility","CA",19767,0,54
"Blackburn Landfill Co-Generation","NC","--",0,227
"Blackhawk","WI",307,0,1
"Blacksand Generating Facility","CA","--",0,79
"Blewett","NC",657,1,4
"Block Island","RI",9392,17,187
"Bloomfield","IA",85,0,2
"Blooming Prairie","MN",181,0,3
"Bloomington Power Plant","UT",179,0,4
"Blossburg","PA",8448,0,23
"Blount Street","WI",230536,2510,504
"Blue Earth","MN",198,0,4
"Blue Lake","MN",94167,0,18
"Blue Spruce Energy Center","CO",300133,5,178
"Blue Valley","MO",420759,2794,256
"Bluebonnet","TX","--",0,134
"Bluegrass Generating Station","KY",6651,0,3
"Bluffton","IN",236,0,6
"Bluffview","NM",180746,1,65
"Blundell","UT",4211,"--","--"
"Blythe Energy Inc","CA",501089,2,68
"Boardman","OR",4193443,12734,9668
"Boise Cascade International Falls","MN",195791,1547,731
"Boise Cascade Pulp & Paper Mill","AL",186733,335,336
"Bolivar","TN",1436,3,28
"Bonanza","UT",3405691,1135,6608
"Boomer Lake Station","OK",253,0,1
"Borger Plant","TX",3213,13,338
"Bosque County Peaking","TX",356642,2,108
"Bostic Delivery No 2","NC",5,"--","--"
"Bottle Rock Power","CA",1424,"--","--"
"Boulder Park","WA",11980,0,278
"Boulevard","GA",210,0,1
"Bountiful City","UT",6594,1,94
"Bowater Newsprint Calhoun Operation","TN",380377,3883,214
"Bowen","GA",20577223,178573,16763
"Bowline Point","NY",455437,484,591
"Bowling Green","OH",158,0,3
"Bowling Green Generating Station","OH",423,"--","--"
"Bowling Green Peaking","OH",463,0,1
"Boydton Plank Road Cogen Plant","VA",2181,1,5
"Bradford Dyeing Association","RI",27138,138,48
"Bradley Gas Recovery","CA","--",0,283
"Brady","NV",2348,"--","--"
"Brainerd Public Utilities","MN",832,5,5
"Brame Energy Center","LA",4058141,11706,6513
"Brandon Shores","MD",8008672,38139,11659
"Brandon Station","TX",19760,0,54
"Brandy Branch","FL",650871,3,80
"Brandywine Power Facility","MD",249613,5,78
"Branford","CT",402,0,2
"Brawley","CA",1,"--","--"
"Brayton Point","MA",7455310,27925,4484
"Breese","IL",331,1,6
"Bremo Bluff","VA",1535752,9482,3123
"Brent Run Generating Station","MI","--",0,142
"Brentwood","NY",58999,0,4
"Brickyard Energy Partners LLC","IL","--",0,281
"Bridgeport Energy Project","CT",963168,5,157
"Bridgeport Gas Processing Plant","TX",21246,0,507
"Bridgeport Station","CT",2406387,2489,1624
"Bridgewater Power LP","NH",332,26,128
"Bristol Myers Squibb New Brunswick","NJ",41337,1,113
"Broad River Energy Center","SC",424525,2,144
"Broadway (CA)","CA",8548,0,2
"Broadway (IN)","IN",16598,0,32
"Broken Bow","NE",509,0,12
"Bronx Zoo","NY",2666,5,56
"Brookhaven Facility","NY","--",0,103
"Brooklyn","IA",93,0,2
"Brooklyn City North Plant","IA",43,0,1
"Brooklyn Navy Yard Cogeneration","NY",1045924,20,69
"Brown Station Road Plant I","MD","--",0,202
"Brown Station Road Plant II","MD","--",0,158
"Brown University Central Heating","RI",29949,92,51
"Brownsville Peaking Power","TN",35327,0,16
"Brunner Island","PA",9377377,96297,14270
"Brunot Island","PA",10831,0,24
"Brunswick","NV",286,1,6
"Brunswick Cellulose","GA",166081,7111,1833
"Brunswick Landfill Gas","VA",557,1,89
"Brush Generation Facility","CO","--",0,27
"Brush Generation Facility","CO",27447,0,42
"Brush IV","CO",78438,0,208
"Bryan (OH)","OH",925,0,3
"Bryan (TX)","TX",1856,0,9
"Bryan Peaking","OH",143,0,3
"Bryant Sugar House","FL",16540,56,617
"Buchanan Generation LLC","VA",42998,0,29
"Buck","NC",1775005,9308,1516
"Buckeye Florida LP","FL",80582,5326,1437
"Bucknell University","PA",31360,1,84
"Bucksport Generation LLC","ME",811521,4,167
"Bull Run","TN",5554043,36295,10823
"Bunge Milling Cogen","IL",218454,426,193
"Bunge North America East LLC","IN",73275,1219,420
"Bunge Oil","IL",9117,0,25
"Buras","LA",2418,0,6
"Burlingame","KS",843,1,17
"Burlington (CO)","CO",5760,10,32
"Burlington (IA)","IA",1299224,4382,996
"Burlington (KS)","KS",111,0,2
"Burlington GT","VT",240,0,1
"Burney Forest Products","CA",2469,29,181
"Burney Mountain Power","CA","--",11,61
"Burton","SC",1835,0,5
"Burwell","NE",92,0,2
"Bushnell","IL",154,0,3
"Butler Municipal Power Plant","MO",236,0,5
"Butler-Warner Generation Plant","NC",50654,0,117
"Buxton","NC",1191,2,23
"Buzzard Point","DC",24463,45,134
"Buzzard Roost","SC",1411,0,4
"C D McIntosh Jr","FL",3065683,6779,4985
"C E Newman","TX",197,"--","--"
"C P Kelco San Diego Plant","CA",98122,0,269
"C R Huntley Generating Station","NY",2611142,9628,2460
"C R Wing Cogen Plant","TX",317458,2,341
"C W Burdick","NE",12592,1,5
"CC Perry K","IN",469162,20,721
"CE Leathers","CA",8967,"--","--"
"CE Turbo LLC","CA",1824,"--","--"
"CEIP Substation Distributed Generation","HI",1593,3,32
"CES Placerita Power Plant","CA",6271,0,18
"CF Industries Yazoo City Complex","MS",120212,1,306
"CH Resources Beaver Falls","NY",29979,0,5
"CH Resources Beaver Falls","NY","--",0,1
"CH Resources Syracuse","NY",31815,0,9
"CID Gas Recovery","IL","--",0,71
"CII Carbon LLC","LA",170658,4952,762
"CIP II/AR Bridgewater Holdings - NJCOE","NJ",21931,2,63
"CITGO Refinery Powerhouse","LA",775187,4,939
"CNN Center","GA",8,"--","--"
"CP Crane Power, LLC","MD",1970149,27788,5240
"CPI USA NC Roxboro","NC",265159,1815,183
"CPI USA NC Southport","NC",587627,3948,493
"CSL Behring LLC","IL",23273,0,64
"CSL Gas Recovery","FL","--",1,142
"CSUCI Site Authority","CA",107472,1,287
"CT Resource Rec Authority Facility","CT",294791,24,970
"Cabot Holyoke","MA",46946,43,65
"Cadillac Renewable Energy","MI","--",46,283
"CalPeak Power Border Peaker Plant","CA",14667,0,2
"CalPeak Power Enterprise Peaker Plant","CA",14267,0,1
"CalPeak Power Panoche Peaker Plant","CA",6564,0,1
"CalPeak Power Vaca Dixon Peaker Plant","CA",6750,0,1
"Calcasieu","LA",38458,0,28
"Caledonia","MS",787076,4,116
"Calhoun Energy Center","AL",264861,2,76
"California Institute of Technology","CA",50650,0,142
"Calistoga Power Plant","CA",14950,"--","--"
"Calumet Energy Team LLC","IL",34556,0,25
"Calvert City","KY",188695,433,46
"Cambria Cogen","PA",814994,2601,931
"Cambridge","NE",66,0,1
"Cambridge CT","MN",216,0,24
"Camden Plant Holdings LLC","NJ",96857,1,37
"Camden Resource Recovery Facility","NJ",143872,14,522
"Camden South Carolina","SC",63781,363,140
"Cameo","CO",554084,1487,536
"Campbell City","MO",83,0,2
"Campbell Village","NE",9,"--","--"
"Canaday","NE",70990,74,152
"Canadys Steam","SC",2187867,16221,4158
"Canal","MA",1911309,6056,959
"Cane Island","FL",564701,3,84
"Cane Run","KY",3498539,13498,5937
"Canton North Carolina","NC",1014693,12671,844
"Cape Canaveral","FL",1366580,3897,4535
"Cape Fear","NC",2057096,11959,2001
"Cape Gas Turbine","ME",2262,4,12
"Capitol District Energy Center","CT",13571,0,11
"Capitol Heat and Power","WI",28468,123,123
"Carbon","UT",1436892,5907,3466
"Cardinal","OH",10003264,73744,14150
"Cardinal Cogen","CA",243334,1,670
"Cargill Corn Milling Division","IA",489875,1529,603
"Cargill Corn Wet Milling Plant","TN",316192,2056,3
"Cargill Salt","MI",19674,169,112
"Caribou Generation Station","ME",15,"--","--"
"Carl Bailey","AR",7890,5,15
"Carlls Corner","NJ",20434,2,38
"Carlsbad","NM",1040,0,3
"Carlyle","IL",183,0,4
"Carmi","IL",135,0,3
"Carr Street Generating Station","NY",27030,1,6
"Carrollton","MO",343,1,6
"Carson Cogeneration","CA",190262,1,13
"Carson Ice-Gen Project","CA",225126,2,27
"Carthage","MO",1973,0,52
"Carthage Energy LLC","NY",12734,0,14
"Carville Energy LLC","LA",961289,5,303
"Cascade","IA",89,0,2
"Cascade Creek","MN",44274,0,27
"Casey City of","IL",43,0,1
"Cashton","WI",174,0,4
"Cass County","NE",69089,0,35
"Castleton Energy Center","NY",114490,3,52
"Catalyst Paper Snowflake Mill","AZ",779603,146,1096
"Caterpillar","IN",414,1,8
"Cayuga","IN",6335802,82358,9251
"Cayuga Operating Company","NY",2146195,3320,2336
"Cecil Lynch","AR",30023,0,74
"Cedar Bay Generating Company LP","FL",2057660,85,1165
"Cedar Bayou","TX",1116674,5,272
"Cedar Station","NJ",3331,3,2
"Celanese","TX",55970,0,200
"Celanese Acetate LLC","VA",846348,0,171
"Centaur Generator Facility","CA",17323,0,44
"Centennial","AK",1528,3,30
"Center Peaker","CA",4599,0,2
"Centerville","IA",33145,60,182
"Central District Wastewater Treat Plant","FL","--",0,333
"Central Energy Plant","FL",60651,0,163
"Central Michigan University","MI","--",4,38
"Central Plant","SC",1118,1,25
"Central Power Plant","RI",22754,0,62
"Central Utilities Plant LAX","CA",40634,0,109
"Central Utility Plant","TX",16255,1,375
"Century Generating Facility","CA",1728,0,5
"Ceredo Generating Station","WV",87459,0,19
"Chaffee Gas Recovery","NY","--",0,192
"Chalk Cliff Limited","CA",186142,1,501
"Chalk Point LLC","MD",4616434,42070,9820
"Chalmette Refining LLC","LA","--",0,19
"Chambers Cogeneration LP","NJ",2113128,14230,1494
"Chambersburg","PA",67622,0,46
"Chamois","MO",624781,1007,1582
"Channel Energy Center LLC","TX",1020223,18,603
"Channelview Cogeneration Plant","TX",2858435,14,265
"Chanute 2","KS",20827,0,47
"Chanute 3","KS",5612,1,119
"Chappell","NE",26,0,0
"Charles City","VA",6203,4,210
"Charles P Keller","NY",8373,6,181
"Charles Poletti","NY",1196847,555,1340
"Charles R Lowman","AL",3546763,14768,9202
"Charleston Resource Recovery Facility","SC",92966,9,412
"Charter Dura-Bar","IL",1176,0,35
"Chattahoochee Energy Facility","GA",589646,3,66
"Chehalis Generating Facility","WA",716443,14,66
"Cherokee","CO",4486289,6425,9339
"Cherokee County Cogen","SC",105045,1,24
"Cherry Street","MA",309,1,6
"Cherryville City Hall","NC",43,0,1
"Chesapeake","VA",3888097,18432,5666
"Chester Generating Station","PA",833,1,5
"Chester Operations","PA",563798,0,175
"Chesterfield","VA",8575118,64498,9383
"Chesterfield Landfill Gas","VA",2290,4,324
"Chestnut Ridge Gas Recovery","TN","--",0,252
"Cheswick Power Plant","PA",2728556,30925,4042
"Chevak","AK",1730,3,36
"Chevron Oil","MS",1386934,8,205
"Chicopee Electric","MA","--",0,96
"Childrens Hospital","CA",15262,0,39
"Chillicothe","MO",1369,1,8
"Chino Mines","NM",3650,0,10
"Choctaw County","MS",84265,0,28
"Cholla","AZ",8119165,21339,13795
"Chouteau","OK",705390,4,161
"Chowchilla II","CA",8002,0,186
"Christiana","DE",441,0,2
"Chuck Lenzie Generating Station","NV",2568187,13,204
"Chula Vista Energy Center","CA",1727,0,1
"Chunchula Plant 1","AL",7411,0,24
"Church Street Plant","VA",621,1,12
"Cimarron River","KS",91130,0,142
"City Light & Water","NE",23,0,0
"Civic Center","CA",95346,0,267
"Clairton Works","PA",67343,3,118
"Clark (NVE)","NV",708976,6,3166
"Clark (SD)","SD",100,0,2
"Clark University","MA",6641,1,155
"Clark-Floyd Landfill Gas Generating","IN","--",0,41
"Claude Vandyke","MI",5295,0,14
"Clay Boswell","MN",7118467,19577,13391
"Clay Center","KS",84,0,2
"Clear Lake Cogeneration Ltd","TX",293034,1,806
"Clearwater Paper APP CB","AR",100901,1332,468
"Clearwater Paper IPP Lewiston","ID",69959,2974,851
"Clearwater Power Plant","CA",897,0,2
"Cleary Flood","MA",20300,43,26
"Cleveland Peaking","OH",70,0,1
"Clewiston Sugar House","FL",17370,45,1599
"Clifton","KS",17182,0,48
"Clifty Creek","IN",8294192,60677,18556
"Clinch River","VA",3690357,24199,7105
"Clinton","MI",6,"--","--"
"Clover","VA",6096508,1478,8996
"Co-Gen II LLC","OR","--",12,107
"Co-Gen LLC","OR","--",7,62
"Coachella","CA",1309,0,4
"Coal Creek","ND",9338450,25680,9492
"Coalinga 25D Cogen","CA",104989,0,267
"Coalinga 6C Cogen","CA",53134,0,135
"Coalinga Cogeneration","CA",222531,1,13
"Coalinga Cogeneration Facility","CA",43664,0,121
"Coastal Carolina Clean Power","NC","--",9,50
"Coastal Plains","TX","--",0,450
"Coffeen","IL",5775893,22000,9484
"Coffeyville","KS",960,0,1
"Coffin Butte","OR","--",0,330
"Cogeneration 1","AZ",36239,0,82
"Coggon","IA",117,0,2
"Coit GT","SC",13394,0,36
"Colbert","AL",7593472,30210,12073
"Colby City of","KS",182,0,4
"Colchester 16","VT",1139,2,6
"Coldwater","MI",324,0,7
"Coleman","MO",11,"--","--"
"Coleto Creek","TX",4344573,12949,2843
"Colfax","MI",93,0,2
"Collins Pine Project","CA","--",9,66
"Collinwood","OH",80,"--","--"
"Colonie LFGTE Facility","NY","--",0,405
"Colorado Bend Energy Center","TX",138286,1,20
"Colorado Energy Nations Company","CO",671363,2145,1591
"Colstrip","MT",16575573,15415,28653
"Colstrip Energy LP","MT",409868,515,284
"Colton Plant","CA","--",0,61
"Columbia (MO)","MO",132360,1012,312
"Columbia (WI)","WI",7359278,23066,4662
"Columbia Energy Center","MO",8896,0,3
"Columbia Energy Center (SC)","SC",182436,1,74
"Columbia Flooring Melbourne","AR","--",3,24
"Columbus MS","MS",28827,3291,705
"Colver Power Project","PA",873392,2086,741
"Comanche (CO)","CO",4590441,11435,6777
"Comanche (OK)","OK",526000,3,2080
"Combined Locks Energy Center","WI",37003,0,4
"Combustion Turbine Project No 2","CA",34457,0,3
"Commerce Refuse To Energy","CA",46602,4,154
"Commercial Street","MA",12,"--","--"
