"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2007&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Nov 25 2019 16:56:37 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",135,"--","--"
"2 AC Station","IN",36386,9,306
"491 E 48th Street","MI",19347,0,53
"500MW CC","NY",1303757,8,80
"59th Street","NY",1035,0,578
"74th Street","NY",188,549,342
"A B Brown","IN",3398818,7932,4315
"A L Pierce","CT",6128,0,10
"ABC Coke","AL","--",0,123
"ACE Cogeneration Facility","CA",913160,1201,571
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,154
"AES Alamitos LLC","CA",869389,5,78
"AES Beaver Valley Partners Beaver Valley","PA",1293972,1085,997
"AES Deepwater","TX",1212534,2142,1497
"AES Hawaii","HI",1426721,669,871
"AES Huntington Beach LLC","CA",799997,5,53
"AES Petersburg","IN",11852161,20412,14995
"AES Redondo Beach LLC","CA",291755,2,16
"AES Thames","CT",1446848,71,506
"AES Warrior Run Cogeneration Facility","MD",1439628,2126,491
"AG Processing Inc","IA",177606,545,1131
"AL Sandersville LLC","GA",51317,0,11
"AMEA Peaking","AL",12660,0,10
"ANP Bellingham Energy Project","MA",1053539,5,52
"ANP Blackstone Energy Project","MA",1067090,5,62
"Aberdeen CT","SD",500,1,3
"Abilene Energy Center Combustion Turbine","KS",11122,0,31
"Acadia Energy Center","LA",397660,2,170
"Ada Cogeneration LP","MI",121791,1,330
"Adrian","MN",21,"--","--"
"Adrian Energy Associates LLC","MI","--",0,261
"Aera San Ardo Cogen Facility","CA",54275,0,148
"Afton Generating Station","NM",42992,0,23
"Agency GT","IA",2194,0,6
"Agnews Power Plant","CA",102670,1,282
"Agrilectric Power Partners Ltd","LA",159,4,56
"Agrium Kenai Nitrogen Operations","AK",15963,0,43
"Agua Fria","AZ",132496,1,426
"Agua Mansa Power Plant","CA",27456,0,3
"Aidlin Geothermal Power Plant","CA",3756,"--","--"
"Air Products Port Arthur","TX",500103,3,1395
"Airport Industrial","CO",98,0,2
"Akron Recycle Energy Plant","OH",19710,166,180
"Al Turi","NY","--",0,61
"Alabama Pine Pulp","AL",33270,3570,821
"Alabama River Pulp","AL",91911,3024,898
"Alameda","CA",5954,0,16
"Alamosa","CO",446,0,2
"Albany","MO",14,"--","--"
"Albany Paper Mill","OR",207653,1681,824
"Albemarle Hospital Unit","NC",36,0,1
"Albemarle Prime Power Park","NC",42,0,1
"Albertville","AL",14,"--","--"
"Alden Bailey Power Plant","OR",398,0,1
"Alexandria","MN",79,0,2
"Algona","IA",118,0,2
"Algonquin Windsor Locks","CT",214168,5,240
"Aliso Water Management Agency","CA",1115,0,132
"Allegany Cogen","NY",33834,0,92
"Allegheny Energy Units 3 4 & 5","PA",240558,1,34
"Allen","TN",5211004,11984,11474
"Allen S King","MN",754337,2312,3540
"Alliance Refinery","LA",25214,0,79
"Alliant Energy Neenah","WI",64884,1,20
"Alliant SBD 8501 Aegon LI","IA",104,0,2
"Alliant SBD 8601 Quad Graphics","IA",387,1,8
"Alliant SBD 8602 Marion Sub","IA",269,0,5
"Alliant SBD 9106 Rockwell CR","IA",1055,2,21
"Alliant SBD 9107 JBS USA","IA",106,0,2
"Alliant SBD 9201 Norplex","IA",53,0,1
"Alliant SBD 9203 Profol","IA",221,0,4
"Alliant SBD 9205 A Y McDonald","IA",22,"--","--"
"Alliant SBD 9206 Donaldson","IA",19,"--","--"
"Alliant SBD 9301 Prairie Farms","IA",17,"--","--"
"Alliant SBD 9302 Aegon NP","IA",25,0,0
"Alliant SBD 9402 Climax","IA",836,1,16
"Alliant SBD 9403 Aegon DC","IA",130,0,3
"Alliant SBD 9502 Eaton","IA",162,0,3
"Alliant SBD 9702 Cedar Graphics","IA",28,0,1
"Alliant SBD 9801 Aegon Martha's Way","IA",26,0,0
"Alliant SBD 9901 Wells Fargo","IA",10,"--","--"
"Alliant SBD0201 Ingredion","IA",238,0,5
"Alliant SBG 9802 Toyota","IA",8,"--","--"
"Alliant Techsystems","MN",1,"--","--"
"Alloy Steam Station","WV",137603,973,454
"Alma","WI",1173383,9751,4254
"Almond Power Plant","CA",47664,0,8
"Alpena Cement Plant","MI",1096008,24900,2955
"Alsey","IL",1247,0,2
"Alsip Paper Condominium Association","IL",4187,0,11
"Alta Municipal Utilities","IA",16,"--","--"
"AltaGas Pomona Energy Inc.","CA",77564,0,198
"AltaGas Ripon Energy Inc.","CA",142155,1,362
"Altamont","IL",161,0,3
"Altamont Gas Recovery","CA","--",0,251
"Altavista Power Station","VA",352715,73,554
"Alyeska Seafoods","AK",9398,17,187
"Amalgamated Sugar LLC Nampa","ID",233791,2064,1754
"Amalgamated Sugar Twin Falls","ID",299684,1664,618
"Amedee Geothermal Venture I","CA",125,"--","--"
"Amelia","VA",3972,7,360
"Ameresco Chicopee Energy","MA","--",0,425
"Ameresco Delaware Central","DE","--",0,216
"Ameresco Delaware South","DE","--",0,375
"Ameresco Janesville","WI","--",0,212
"Ameresco Santa Cruz Energy","CA","--",0,275
"American Crystal Sugar Crookston","MN",179331,733,1116
"American Crystal Sugar Drayton","ND",196156,607,1221
"American Crystal Sugar East Grand Forks","MN",369988,1464,2229
"American Crystal Sugar Hillsboro","ND",270236,782,501
"American Crystal Sugar Moorhead","MN",179245,733,1116
"American Eagle Paper Mills","PA",154478,2421,366
"American Gypsum Cogeneration","CO",22607,0,59
"Ames Electric Services Power Plant","IA",524355,981,1098
"Ames GT","IA",998,0,1
"Anadarko","OH",2,"--","--"
"Anadarko Plant","OK",723122,0,6
"Anaheim GT","CA",24915,0,4
"Anchorage 1","AK",41653,0,115
"Anclote","FL",2612911,24529,5968
"Anderson","IN",4731,0,3
"Anderson Erickson","IA",18,"--","--"
"Androscoggin Energy Center","ME",354995,2,42
"Androscoggin Mill","ME",205327,5604,925
"Angoon","AK",1476,3,29
"Angus Anson","SD",205146,5,114
"Anheuser-Busch Jacksonville","FL",74307,0,198
