"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2009&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:08:19 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",118,"--","--"
"191 Peachtree Tower","GA",3,"--","--"
"2 AC Station","IN",6355,2,78
"491 E 48th Street","MI",4029,0,11
"500MW CC","NY",1163229,8,71
"59th Street","NY",418,0,566
"74th Street","NY",206,506,325
"A B Brown","IN",2279855,5242,1561
"A L Pierce","CT",2848,0,3
"ABC Coke","AL",20851,0,151
"ACE Cogeneration Facility","CA",883095,718,701
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,158
"AES Alamitos LLC","CA",1009061,5,194
"AES Beaver Valley Partners Beaver Valley","PA",1181997,3175,2112
"AES Deepwater","TX",1317813,4007,242
"AES Hawaii","HI",1429875,789,910
"AES Huntington Beach LLC","CA",622587,3,84
"AES Petersburg","IN",10834030,36405,8762
"AES Redondo Beach LLC","CA",388767,1,112
"AES Thames","CT",1492241,59,400
"AES Warrior Run Cogeneration Facility","MD",1166424,947,369
"AG Processing Inc","IA",163939,1529,1044
"AL Sandersville LLC","GA",9464,0,4
"AMEA Peaking","AL",2788,0,2
"ANP Bellingham Energy Project","MA",735918,4,53
"ANP Blackstone Energy Project","MA",592451,3,44
"Aberdeen CT","SD",1036,1,6
"Abilene Energy Center Combustion Turbine","KS",15614,0,44
"Acadia Energy Center","LA",489196,2,169
"Ada Cogeneration LP","MI",107462,1,284
"Adrian","MN",6,"--","--"
"Adrian Energy Associates LLC","MI","--",0,233
"Aera San Ardo Cogen Facility","CA",42357,0,112
"Afton Generating Station","NM",272226,1,37
"Agency GT","IA",365,0,2
"Agnews Power Plant","CA",70645,0,198
"Agrilectric Power Partners Ltd","LA",424,3,50
"Agua Fria","AZ",47369,0,149
"Agua Mansa Power Plant","CA",12174,0,2
"Aidlin Geothermal Power Plant","CA",3702,"--","--"
"Air Products Port Arthur","TX",534635,4,1510
"Airport Industrial","CO",131,0,3
"Alabama Pine Pulp","AL",24688,3906,853
"Alabama River Pulp","AL",30316,2576,828
"Alakanuk","AK",1302,0,27
"Alameda","CA",192,0,1
"Alamosa","CO",1110,0,4
"Albany","MO",6,"--","--"
"Albany Paper Mill","OR",212954,558,652
"Albemarle Hospital Unit","NC",27,0,1
"Albemarle Prime Power Park","NC",43,0,1
"Albertville","AL",7,"--","--"
"Alden Bailey Power Plant","OR",646,0,2
"Alexandria","MN",30,"--","--"
"Algona","IA",104,0,2
"Algonquin Windsor Locks","CT",210470,2,235
"Aliso Water Management Agency","CA",1241,0,151
"Allegany Cogen","NY",23976,0,62
"Allegheny Energy Units 3 4 & 5","PA",250072,1,24
"Allen","TN",5007356,10771,2364
"Allen S King","MN",3257550,1485,1322
"Alliance Refinery","LA","--",0,16
"Alliant Energy Neenah","WI",13439,0,4
"Alliant SBD 8501 Aegon LI","IA",14,"--","--"
"Alliant SBD 8602 Marion Sub","IA",35,0,1
"Alliant SBD 9106 Rockwell CR","IA",106,0,2
"Alliant SBD 9107 JBS USA","IA",66,0,1
"Alliant SBD 9201 Norplex","IA",34,0,1
"Alliant SBD 9205 A Y McDonald","IA",17,"--","--"
"Alliant SBD 9206 Donaldson","IA",15,"--","--"
"Alliant SBD 9301 Prairie Farms","IA",19,"--","--"
"Alliant SBD 9302 Aegon NP","IA",4,"--","--"
"Alliant SBD 9402 Climax","IA",789,1,15
"Alliant SBD 9403 Aegon DC","IA",19,"--","--"
"Alliant SBD 9502 Eaton","IA",65,0,1
"Alliant SBD 9801 Aegon Martha's Way","IA",3,"--","--"
"Alliant SBD 9901 Wells Fargo","IA",5,"--","--"
"Alliant SBD0201 Ingredion","IA",43,0,1
"Alliant SBG 9802 Toyota","IA",5,"--","--"
"Alliant Techsystems","MN",2,"--","--"
"Alma","WI",476174,4810,1168
"Almond Power Plant","CA",34641,0,5
"Alpena Cement Plant","MI",782976,25151,2093
"Alsey","IL",896,0,6
"Alta Municipal Utilities","IA",9,"--","--"
"AltaGas Pomona Energy Inc.","CA",64774,0,178
"AltaGas Ripon Energy Inc.","CA",130659,1,333
"Altamont","IL",67,0,1
"Altamont Gas Recovery","CA","--",0,198
"Altavista Power Station","VA",144843,26,205
"Amalgamated Sugar LLC Nampa","ID",21935,186,151
"Amalgamated Sugar Twin Falls","ID",225718,1268,465
"Amedee Geothermal Venture I","CA",95,"--","--"
"Amelia","VA",724,1,59
"Ameresco Chicopee Energy","MA","--",0,410
"Ameresco Delaware Central","DE","--",0,229
"Ameresco Delaware South","DE","--",0,304
"Ameresco Janesville","WI","--",0,182
"Ameresco Jefferson City","MO","--",0,176
"Ameresco Keller Canyon","CA","--",0,123
"Ameresco Ox Mountain","CA","--",0,801
"Ameresco Santa Cruz Energy","CA","--",0,293
"Ameresco Stafford","VA","--",0,114
"American Crystal Sugar Crookston","MN",159642,1456,994
"American Crystal Sugar Drayton","ND",195204,1780,1215
"American Crystal Sugar East Grand Forks","MN",333053,3037,2073
"American Crystal Sugar Hillsboro","ND",273905,820,526
"American Crystal Sugar Moorhead","MN",154780,1411,963
"American Eagle Paper Mills","PA",154290,1956,350
"American Gypsum Cogeneration","CO",14061,0,38
"Ames Electric Services Power Plant","IA",401350,764,855
"Ames GT","IA",857,0,1
"Ampersand Chowchilla Biomass LLC","CA","--",10,104
"Anadarko","OH",29,0,1
"Anadarko Plant","OK",505278,0,10
"Anaheim GT","CA",33870,0,6
"Anchorage 1","AK",60209,0,166
"Anclote","FL",1279166,9143,1918
"Anderson","IN",2988,1,3
"Anderson Erickson","IA",0,"--","--"
"Anderson Regional Landfill","SC","--",0,140
"Androscoggin Energy Center","ME",350812,2,39
"Androscoggin Mill","ME",135452,3610,690
"Angoon","AK",1448,1,28
"Angus Anson","SD",14220,0,7
"Anheuser-Busch Jacksonville","FL",10524,0,28
"Anheuser-Busch St Louis","MO",249263,4471,571
"Aniak","AK",2648,2,53
"Animas","NM",70838,0,191
"Anita","IA",11,"--","--"
"Ansley","NE",20,"--","--"
"Anson Abenaki Hydros","ME",102562,425,177
"Anson County Generation Facility","NC",82286,1,58
"Antelope Valley","ND",7586868,13062,13369
"Anthony","KS",861,0,20
