"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2016&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Nov 25 2019 17:18:42 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",217,0,1
"491 E 48th Street","MI",15107,0,43
"500MW CC","NY",1088817,5,68
"59th Street","NY",54,0,213
"74th Street","NY",526,26,124
"A B Brown","IN",2230307,3497,1537
"A L Pierce","CT",2750,0,1
"ABC Coke","AL",4256,1,174
"ABEC Bidart-Old River LLC","CA","--",0,335
"AC Landfill Energy LLC","NJ","--",0,127
"ADS Renewable Energy-Wolf Creek LLC","GA","--",0,222
"AES Alamitos LLC","CA",584337,3,48
"AES Hawaii","HI",1550739,556,977
"AES Huntington Beach LLC","CA",286217,2,29
"AES Petersburg","IN",9286358,11646,9810
"AES Redondo Beach LLC","CA",210777,1,213
"AES Warrior Run Cogeneration Facility","MD",1084140,808,324
"AG Processing Inc","IA",106898,307,249
"AL Sandersville LLC","GA",4536,0,2
"AMEA Peaking","AL",27978,0,19
"ANP Bellingham Energy Project","MA",908745,4,51
"ANP Blackstone Energy Project","MA",661913,3,37
"APG Combined Heat and Power Plant","MD",13679,0,39
"AT&T Anaheim","CA",888,0,0
"AT&T Holger","CA",1361,0,0
"Aberdeen CT","SD",10027,0,40
"Acadia Energy Center","LA",2593841,13,208
"Ada Cogeneration LP","MI",93569,0,210
"Adkins Energy LLC","IL",18681,0,50
"Adobe San Jose","CA",3579,0,0
"Adrian","MN",6,0,0
"Adrian Energy Associates LLC","MI","--",0,262
"Aera San Ardo Cogen Facility","CA",39051,0,106
"Afton Generating Station","NM",250894,1,36
"Agnews Power Plant","CA",7709,0,18
"AgriReNew","IA","--",0,50
"Agrilectric Power Partners Ltd","LA",547,4,59
"Agua Fria","AZ",60819,0,188
"Agua Mansa Power Plant","CA",3552,0,1
"Aidlin Geothermal Power Plant","CA",3296,"--","--"
"Air Products Port Arthur","TX",534710,2,1330
"Airport Industrial","CO",48,0,1
"Akron WRF","OH","--",0,241
"Al Turi","NY","--",0,128
"Alabama Pine Pulp","AL",31239,3346,692
"Alabama River Pulp","AL",69414,2589,1014
"Alameda","CA",2879,0,8
"Alamosa","CO",3714,0,11
"Albany Medical Ctr Cogen Plant","NY",28551,0,78
"Albemarle Hospital Unit","NC",70,0,1
"Albemarle Prime Power Park","NC",142,0,3
"Alden Bailey Power Plant","OR",1,0,0
"Alexandria","MN",8,0,0
"Algona","IA",103,0,2
"Algonquin Power Sanger LLC","CA",55477,0,129
"Algonquin Windsor Locks","CT",81894,0,11
"Allegany Cogen","NY",38858,0,83
"Allegheny Energy Units 3 4 & 5","PA",1679515,8,109
"Allen","TN",3570181,6982,1365
"Allen S King","MN",2595525,1375,1263
"Allendale Biomass","SC","--",34,33
"Allenwood","PA","--",0,285
"Alliance Refinery","LA",12108,0,16
"Alliant Energy Neenah","WI",157186,1,51
"Alliant SBD 8501 Aegon LI","IA",10,0,0
"Alliant SBD 8602 Marion Sub","IA",13,0,0
"Alliant SBD 9106 Rockwell CR","IA",185,0,4
"Alliant SBD 9107 JBS USA","IA",110,0,2
"Alliant SBD 9201 Norplex","IA",111,0,2
"Alliant SBD 9203 Profol","IA",233,0,4
"Alliant SBD 9205 A Y McDonald","IA",19,0,0
"Alliant SBD 9206 Donaldson","IA",9,0,0
"Alliant SBD 9301 Prairie Farms","IA",33,0,1
"Alliant SBD 9302 Aegon NP","IA",4,0,0
"Alliant SBD 9403 Aegon DC","IA",12,0,0
"Alliant SBD 9502 Eaton","IA",62,0,1
"Alliant SBD 9901 Wells Fargo","IA",1,0,0
"Alliant SBD0201 Ingredion","IA",85,0,2
"Alliant SBG 9802 Toyota","IA",11,0,0
"Almond Power Plant","CA",64727,0,5
