"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2006&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 16:25:33 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",120,"--","--"
"2 AC Station","IN",18756,12,396
"3200 Wildwood Plaza","GA",1,"--","--"
"491 E 48th Street","MI",9185,0,26
"500MW CC","NY",1223585,7,88
"59th Street","NY",1147,0,414
"74th Street","NY",1637,668,440
"A B Brown","IN",3377803,8125,4430
"ABC Coke","AL",354,1,139
"ACE Cogeneration Facility","CA",869312,1161,544
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,108
"AES Alamitos LLC","CA",1100332,5,90
"AES Beaver Valley Partners Beaver Valley","PA",1274618,1069,847
"AES Deepwater","TX",1470488,1985,3677
"AES Hawaii","HI",1443966,651,847
"AES Huntington Beach LLC","CA",631340,4,84
"AES Petersburg","IN",11196581,26295,14890
"AES Redondo Beach LLC","CA",353236,2,332
"AES Thames","CT",1503086,74,467
"AES Warrior Run Cogeneration Facility","MD",1354392,2000,418
"AG Processing Inc","IA",180601,543,1150
"AL Sandersville LLC","GA",16380,0,4
"AMEA Peaking","AL",15431,0,11
"ANP Bellingham Energy Project","MA",903967,4,100
"ANP Blackstone Energy Project","MA",1128645,6,68
"Aberdeen CT","SD",277,0,2
"Abilene Energy Center Combustion Turbine","KS",6689,0,18
"Acadia Energy Center","LA",537119,2,163
"Ada Cogeneration LP","MI",119457,1,324
"Adrian","MN",7,"--","--"
"Adrian Energy Associates LLC","MI","--",0,258
"Aera San Ardo Cogen Facility","CA",53735,0,146
"Aera South Belridge Cogen Facility","CA",5216,0,13
"Afton Generating Station","NM",8376,0,3
"Agency GT","IA",1989,0,6
"Agnews Power Plant","CA",87852,0,242
"Agrilectric Power Partners Ltd","LA",294,3,45
"Agrium Kenai Nitrogen Operations","AK",315854,2,855
"Agua Fria","AZ",95554,0,307
"Agua Mansa Power Plant","CA",16836,0,2
"Aidlin Geothermal Power Plant","CA",3506,"--","--"
"Airport Industrial","CO",454,1,9
"Al Turi","NY","--",0,225
"Alabama Pine Pulp","AL",29418,3350,770
"Alabama River Pulp","AL",33774,2814,836
"Alameda","CA",12351,0,34
"Alamosa","CO",253,0,1
"Albany","MO",198,0,4
"Albany Paper Mill","OR",220649,1746,865
"Albemarle Hospital Unit","NC",10,"--","--"
"Albemarle Prime Power Park","NC",45,0,1
"Albertville","AL",25,0,0
"Alden Bailey Power Plant","OR",906,0,3
"Algona","IA",128,0,2
"Algonquin Windsor Locks","CT",199197,2,219
"Aliso Water Management Agency","CA",1168,0,134
"Allegany Cogen","NY",28838,0,79
"Allegheny Energy Units 3 4 & 5","PA",80873,0,8
"Allen","TN",5260579,15797,12054
"Allen S King","MN",1667217,13028,6545
"Alliance Refinery","LA",13070,0,41
"Alliant Energy Neenah","WI",74786,1,22
"Alliant SBD 8501 Aegon LI","IA",64,0,1
"Alliant SBD 8601 Quad Graphics","IA",297,0,6
"Alliant SBD 8602 Marion Sub","IA",143,0,3
"Alliant SBD 9106 Rockwell CR","IA",161,0,3
"Alliant SBD 9107 JBS USA","IA",229,0,4
"Alliant SBD 9201 Norplex","IA",51,0,1
"Alliant SBD 9203 Profol","IA",580,1,11
"Alliant SBD 9205 A Y McDonald","IA",35,0,1
"Alliant SBD 9206 Donaldson","IA",22,"--","--"
"Alliant SBD 9301 Prairie Farms","IA",22,"--","--"
"Alliant SBD 9302 Aegon NP","IA",34,0,1
"Alliant SBD 9402 Climax","IA",671,1,13
"Alliant SBD 9403 Aegon DC","IA",54,0,1
"Alliant SBD 9502 Eaton","IA",311,0,6
"Alliant SBD 9702 Cedar Graphics","IA",22,"--","--"
"Alliant SBD 9801 Aegon Martha's Way","IA",20,"--","--"
"Alliant SBD 9901 Wells Fargo","IA",23,0,0
"Alliant SBD0201 Ingredion","IA",225,0,4
"Alliant Techsystems","MN",12,"--","--"
"Alloy Steam Station","WV",96588,681,251
"Alma","WI",1198484,10656,4093
"Almond Power Plant","CA",69523,0,8
"Alsey","IL",3859,0,6
"Alta Municipal Utilities","IA",27,0,1
"AltaGas Pomona Energy Inc.","CA",142365,1,391
"AltaGas Ripon Energy Inc.","CA",124923,1,343
"Altamont","IL",201,0,4
"Altamont Gas Recovery","CA","--",0,288
"Altavista Power Station","VA",363485,102,550
"Alyeska Seafoods","AK",8959,12,176
"Amalgamated Sugar LLC Nampa","ID",21996,177,124
"Amalgamated Sugar Twin Falls","ID",262876,1355,503
"Amedee Geothermal Venture I","CA",131,"--","--"
"Ameresco Chicopee Energy","MA","--",0,478
"Ameresco Delaware South","DE","--",0,6
"Ameresco Janesville","WI","--",0,238
"Ameresco Santa Cruz Energy","CA","--",0,261
"American Crystal Sugar Crookston","MN",142714,550,860
"American Crystal Sugar Drayton","ND",180673,666,1088
"American Crystal Sugar East Grand Forks","MN",281937,1086,1698
"American Crystal Sugar Hillsboro","ND",257556,745,477
"American Crystal Sugar Moorhead","MN",158949,612,957
"American Eagle Paper Mills","PA",139012,2178,329
"American Gypsum Cogeneration","CO",24309,0,64
"Ames Electric Services Power Plant","IA",699130,1171,1175
"Ames GT","IA",2655,0,3
"Anadarko Plant","OK",560716,0,10
"Anaheim GT","CA",30160,0,5
"Anchorage 1","AK",24500,0,68
"Anclote","FL",2379344,21326,5899
"Anderson","IN",4251,0,2
"Anderson Erickson","IA",14,"--","--"
"Anderson Power Products Division","MA",250,0,5
