"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2010&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Nov 25 2019 17:09:01 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",228,0,1
"191 Peachtree Tower","GA",2,0,0
"491 E 48th Street","MI",22180,0,62
"500MW CC","NY",1190417,8,69
"59th Street","NY",977,0,430
"74th Street","NY",261,558,342
"A B Brown","IN",2244508,4802,1540
"A L Pierce","CT",3945,0,4
"ABC Coke","AL",2808,1,237
"ACE Cogeneration Facility","CA",875894,769,688
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,156
"AES Alamitos LLC","CA",520763,3,66
"AES Beaver Valley Partners Beaver Valley","PA",1221419,3099,2466
"AES Deepwater","TX",544274,1821,124
"AES Hawaii","HI",1466900,782,944
"AES Huntington Beach LLC","CA",552884,3,54
"AES Petersburg","IN",11816155,27076,10166
"AES Redondo Beach LLC","CA",93651,0,33
"AES Thames","CT",1452904,54,436
"AES Warrior Run Cogeneration Facility","MD",1376271,1131,555
"AG Processing Inc","IA",169103,1596,1064
"AL Sandersville LLC","GA",31583,0,9
"AMEA Peaking","AL",7342,0,4
"ANP Bellingham Energy Project","MA",691569,3,46
"ANP Blackstone Energy Project","MA",712957,4,49
"Aberdeen CT","SD",162,0,1
"Abilene Energy Center Combustion Turbine","KS",11332,0,31
"Acadia Energy Center","LA",1226871,6,151
"Ada Cogeneration LP","MI",111359,1,293
"Adrian","MN",12,0,0
"Adrian Energy Associates LLC","MI","--",0,275
"Aera San Ardo Cogen Facility","CA",37613,0,96
"Afton Generating Station","NM",122967,1,27
"Agnews Power Plant","CA",98522,0,272
"Agrilectric Power Partners Ltd","LA",257,4,55
"Agua Fria","AZ",19432,0,53
"Agua Mansa Power Plant","CA",15926,0,2
"Aidlin Geothermal Power Plant","CA",3827,"--","--"
"Air Products Port Arthur","TX",535730,3,1422
"Airport Industrial","CO",163,0,3
"Alabama Pine Pulp","AL",19735,3506,791
"Alabama River Pulp","AL",26877,2619,900
"Alakanuk","AK",1333,0,28
"Alameda","CA",192,0,1
"Alamosa","CO",3354,0,10
"Albany","MO",16,0,0
"Albemarle Hospital Unit","NC",41,0,1
"Albemarle Prime Power Park","NC",64,0,1
"Alden Bailey Power Plant","OR",936,0,3
"Alexandria","MN",38,0,0
"Algona","IA",59,0,1
"Algonquin Power Sanger LLC","CA",50802,0,156
"Algonquin Windsor Locks","CT",180488,2,199
"Aliso Water Management Agency","CA",1472,0,174
"Allegany Cogen","NY",22124,0,55
"Allegheny Energy Units 3 4 & 5","PA",276134,1,30
"Allen","TN",4737470,10031,2237
"Allen S King","MN",3286083,1580,1351
"Alliance Refinery","LA","--",0,33
"Alliant Energy Neenah","WI",8410,0,3
"Alliant SBD 8501 Aegon LI","IA",19,0,0
"Alliant SBD 8602 Marion Sub","IA",52,0,1
"Alliant SBD 9106 Rockwell CR","IA",300,0,6
"Alliant SBD 9107 JBS USA","IA",104,0,2
"Alliant SBD 9201 Norplex","IA",55,0,1
"Alliant SBD 9205 A Y McDonald","IA",35,0,1
"Alliant SBD 9206 Donaldson","IA",16,0,0
"Alliant SBD 9301 Prairie Farms","IA",58,0,1
"Alliant SBD 9302 Aegon NP","IA",5,0,0
"Alliant SBD 9402 Climax","IA",1119,1,22
"Alliant SBD 9403 Aegon DC","IA",21,0,0
"Alliant SBD 9502 Eaton","IA",232,0,5
"Alliant SBD 9801 Aegon Martha's Way","IA",3,0,0
"Alliant SBD 9901 Wells Fargo","IA",8,0,0
"Alliant SBD0201 Ingredion","IA",64,0,1
"Alliant Techsystems","MN",2,0,0
"Alma","WI",340322,3801,693
"Almond Power Plant","CA",26653,0,4
"Alpena Cement Plant","MI",850456,18770,2242
"Alsey","IL",3890,0,4
"Alta Municipal Utilities","IA",4,0,0
"AltaGas Pomona Energy Inc.","CA",71673,0,198
"AltaGas Ripon Energy Inc.","CA",67963,0,188
"Altamont","IL",77,0,2
"Altamont Gas Recovery","CA","--",0,257
"Altavista Power Station","VA",176937,38,251
"Amalgamated Sugar LLC Nampa","ID",232561,2200,1745
"Amalgamated Sugar Twin Falls","ID",249679,1248,498
"Amedee Geothermal Venture I","CA",27,"--","--"
"Amelia","VA",1427,1,52
"Ameresco Chicopee Energy","MA","--",0,436
"Ameresco Chiquita Canyon","CA","--",0,8
"Ameresco Delaware Central","DE","--",0,174
"Ameresco Delaware South","DE","--",0,425
"Ameresco Janesville","WI","--",0,265
"Ameresco Jefferson City","MO","--",0,247
"Ameresco Keller Canyon","CA","--",0,315
"Ameresco Ox Mountain","CA","--",0,960
"Ameresco Santa Cruz Energy","CA","--",0,295
"Ameresco Stafford","VA","--",0,184
