"","state_and_county_fips_code","county_name","sector","NOX","PM10-PRI","PM25-PRI","SO2"
"722",19163,"Scott","Fires - Wildfires",0.072972,0.387352,0.328278,0.034327
"723",19165,"Shelby","Fires - Wildfires",1.821925,15.157836,12.845622,1.062211
"724",19167,"Sioux","Fires - Wildfires",1.951597,12.053446,10.214795,0.981645
"725",19169,"Story","Fires - Wildfires",0.38954,3.191262,2.704492,0.225284
"726",19171,"Tama","Fires - Wildfires",1.173898,6.808279,5.769811,0.573933
"727",19173,"Taylor","Fires - Wildfires",0.001377,0.005347,0.004537,0.000571
"728",19175,"Union","Fires - Wildfires",0.465144,3.425535,2.903005,0.254616
"729",19177,"Van Buren","Fires - Wildfires",1.772117,6.929135,5.87212,0.741472
"730",19179,"Wapello","Fires - Wildfires",0.149403,1.226903,1.039749,0.086503
"731",19181,"Warren","Fires - Wildfires",3.675816,28.39137,24.060479,2.061257
"732",19183,"Washington","Fires - Wildfires",1.560793,12.7633,10.816411,0.901699
"733",19185,"Wayne","Fires - Wildfires",4.938094,31.49087,26.687211,2.520897
"734",19187,"Webster","Fires - Wildfires",0.006347,0.049426,0.04189,0.003569
"735",19191,"Winneshiek","Fires - Wildfires",4.2e-05,0.000175,0.000154,1.6e-05
"736",19193,"Woodbury","Fires - Wildfires",1.048341,8.698704,7.371748,0.610316
"737",19195,"Worth","Fires - Wildfires",0.000462,0.001784,0.001517,0.000191
"738",20007,"Barber","Fires - Wildfires",9.304466,38.366982,32.5144,3.967226
"739",20023,"Cheyenne","Fires - Wildfires",0.372338,1.463671,1.240398,0.156071
"740",20025,"Clark","Fires - Wildfires",3535.758704,14615.76275,12386.24037,1508.910098
"741",20033,"Comanche","Fires - Wildfires",397.215287,1706.651171,1446.314366,171.929028
"742",20053,"Ellsworth","Fires - Wildfires",0.574952,2.260105,1.915351,0.241013
"743",20055,"Finney","Fires - Wildfires",326.4871,2716.2835,2301.9357,190.34806
"744",20057,"Ford","Fires - Wildfires",9.198725,37.883434,32.10458,3.920341
"745",20063,"Gove","Fires - Wildfires",0.487908,1.91792,1.625343,0.204521
"746",20069,"Gray","Fires - Wildfires",113.250223,942.2111,798.4839,66.027007
"747",20083,"Hodgeman","Fires - Wildfires",106.010855,436.140381,369.61051,45.163372
"748",20085,"Jackson","Fires - Wildfires",6.019308,23.538909,19.947931,2.51864
"749",20095,"Kingman","Fires - Wildfires",0.092444,0.363383,0.307966,0.038751
"750",20097,"Kiowa","Fires - Wildfires",66.046316,272.342096,230.79835,28.160605
"751",20099,"Labette","Fires - Wildfires",0.386624,1.511536,1.280992,0.161824
"752",20107,"Linn","Fires - Wildfires",3.78193,17.485251,14.818011,1.683081
"753",20113,"McPherson","Fires - Wildfires",0.051168,0.201122,0.170408,0.021442
"754",20119,"Meade","Fires - Wildfires",56.230811,228.68496,193.800815,23.856675
