"","filename","total_wui_households","num_intermix","num_interface","total_val_sum","total_val_avg"
"1","WUI_housing_data_1.csv","1131363","419209","712154","121867240776","107893.806059436"
"2","WUI_housing_data_10.csv","78794","16535","62259","5286695138","67253.0516607513"
"3","WUI_housing_data_11.csv","38442","1254","37188","29624806472","770636.451589407"
"4","WUI_housing_data_12.csv","2327892","560192","1767700","252617244762","109440.123643302"
"5","WUI_housing_data_13.csv","2150775","914610","1236165","246508140765","114748.402426814"
"6","WUI_housing_data_16.csv","235550","80619","154931","41597741223","180213.327078956"
"7","WUI_housing_data_17.csv","497549","63739","433810","20830206119","42138.7715728955"
"8","WUI_housing_data_18.csv","535672","175982","359690","50583400271","94850.1593311807"
"9","WUI_housing_data_19.csv","163631","25195","138436","17343316397","108034.487164793"
"10","WUI_housing_data_20.csv","283976","48587","235389","26371787670","93634.1863041325"
"11","WUI_housing_data_21.csv","534498","206952","327546","38726161285","74754.0021098431"
"12","WUI_housing_data_22.csv","326441","101722","224719","3215986570","9890.29163565687"
"13","WUI_housing_data_23.csv","290189","135303","154886","58477492245","202565.754406202"
"14","WUI_housing_data_24.csv","948375","255651","692724","268037773600","288343.809711299"
"15","WUI_housing_data_25.csv","1343007","478732","864275","483795174846","360422.808067353"
"16","WUI_housing_data_26.csv","480308","147471","332837","39010715769","82786.9813313583"
"17","WUI_housing_data_27.csv","263320","82023","181297","41147633212","156620.432289645"
"18","WUI_housing_data_28.csv","527803","193270","334533","41638016785","79295.2532655622"
"19","WUI_housing_data_29.csv","677302","237606","439696","60159053978","89659.4259053644"
"20","WUI_housing_data_30.csv","231735","65058","166677","45709209116","198819.541789363"
"21","WUI_housing_data_31.csv","183987","28650","155337","18390848402","100836.417878859"
"22","WUI_housing_data_32.csv","342650","74166","268484","42780081998","126358.564624986"
"23","WUI_housing_data_33.csv","496829","293333","203496","103248479266","209463.803849728"
"24","WUI_housing_data_34.csv","1043103","275798","767305","327552002171","314640.115741323"
"25","WUI_housing_data_35.csv","301646","111140","190506","36747587658","122263.733224647"
"26","WUI_housing_data_36.csv","2049834","774793","1275041","259511659146","126762.336985097"
"27","WUI_housing_data_37.csv","2781499","1003200","1778299","374774749481","135769.358211448"
"28","WUI_housing_data_38.csv","23318","4689","18629","2722160265","118067.325858779"
"29","WUI_housing_data_39.csv","1456505","377357","1079148","156856580427","108702.170921709"
"30","WUI_housing_data_4.csv","1089441","391670","697771","173436409291","159443.928972253"
"31","WUI_housing_data_40.csv","844002","276365","567637","60509037471","71750.5558011443"
"32","WUI_housing_data_41.csv","535796","151018","384778","117760758728","222167.474876145"
"33","WUI_housing_data_42.csv","1860325","595492","1264833","169114461703","91302.080766008"
"34","WUI_housing_data_44.csv","185962","62929","123033","47436477357","255954.057351132"
"35","WUI_housing_data_45.csv","1231263","465104","766159","120315893189","98193.9700617324"
"36","WUI_housing_data_46.csv","48423","14352","34071","6927266669","146333.185513002"
"37","WUI_housing_data_47.csv","1295778","429920","865858","140849841834","108853.036129047"
"38","WUI_housing_data_48.csv","3484537","963150","2521387","454258442324","130818.678551146"
"39","WUI_housing_data_49.csv","363581","81620","281961","93440114846","257424.258696736"
"40","WUI_housing_data_5.csv","695551","282295","413256","49758078153","72114.7244548794"
"41","WUI_housing_data_50.csv","101617","50390","51227","21785419617","226605.708637583"
"42","WUI_housing_data_51.csv","1618224","571491","1046733","356997263366","223368.017187581"
"43","WUI_housing_data_53.csv","955497","299855","655642","216754637218","231770.838044035"
"44","WUI_housing_data_54.csv","735870","391197","344673","27215081476","36988.6220756786"
"45","WUI_housing_data_55.csv","53985","10731","43254","7598504745","142248.811146264"
"46","WUI_housing_data_56.csv","149848","44862","104986","28616745555","191212.994574332"
"47","WUI_housing_data_6.csv","3947193","835601","3111592","1535761583703","397628.869153579"
"48","WUI_housing_data_8.csv","851855","308846","543009","231436181228","276082.603345398"
"49","WUI_housing_data_9.csv","825233","361818","463415","171018192213","207670.599294238"
