"","filename","total_wui_households","num_intermix","num_interface","total_val_sum","total_val_avg"
"1","WUI_housing_data_1.csv","1204503","461053","743450","135076017498","112327.927300699"
"2","WUI_housing_data_10.csv","88351","17921","70430","5733108348","65093.4811013341"
"3","WUI_housing_data_11.csv","38733","1262","37471","29844380462","770515.59295691"
"4","WUI_housing_data_12.csv","2555688","638879","1916809","297892867905","117517.774211746"
"5","WUI_housing_data_13.csv","2413775","1076691","1337084","293033221402","121540.570413577"
"6","WUI_housing_data_16.csv","254510","88747","165763","46676483227","186963.943149546"
"7","WUI_housing_data_17.csv","511084","66179","444905","21888375200","43094.9028471523"
"8","WUI_housing_data_18.csv","563577","186446","377131","55444984524","98809.8696268944"
"9","WUI_housing_data_19.csv","169635","27142","142493","18938234772","113727.441686734"
"10","WUI_housing_data_20.csv","297118","53351","243767","29078605300","98707.7265922815"
"11","WUI_housing_data_21.csv","568462","220816","347646","43038727742","78008.5618776259"
"12","WUI_housing_data_22.csv","352245","113967","238278","3715778619","10587.8022704154"
"13","WUI_housing_data_23.csv","306403","147205","159198","62556049121","205315.193565115"
"14","WUI_housing_data_24.csv","1009212","277061","732151","290834000700","293893.431320042"
"15","WUI_housing_data_25.csv","1387832","503058","884774","505328204623","364300.805427512"
"16","WUI_housing_data_26.csv","509684","158265","351419","43551673846","87139.2490626138"
"17","WUI_housing_data_27.csv","278872","86646","192226","45126552412","162172.306098906"
"18","WUI_housing_data_28.csv","560484","214528","345956","45951304765","82387.2156690835"
"19","WUI_housing_data_29.csv","724898","259670","465228","68018668079","94676.5568334929"
"20","WUI_housing_data_30.csv","246784","72365","174419","50959002311","208100.402696047"
"21","WUI_housing_data_31.csv","193262","31652","161610","20341487649","106193.586298166"
"22","WUI_housing_data_32.csv","434101","123290","310811","62689508175","146093.292042059"
"23","WUI_housing_data_33.csv","516377","314122","202255","109103530788","212926.069207515"
"24","WUI_housing_data_34.csv","1091075","295856","795219","347310862971","318928.462323449"
"25","WUI_housing_data_35.csv","329605","130811","198794","41967968354","127770.374695553"
"26","WUI_housing_data_36.csv","2106041","812698","1293343","276146498560","131284.276760178"
"27","WUI_housing_data_37.csv","3290445","1117885","2172560","475972387308","145790.167998611"
"28","WUI_housing_data_38.csv","25435","5945","19490","3089747587","122750.291486234"
"29","WUI_housing_data_39.csv","1511831","400517","1111314","168173950765","112256.212604948"
"30","WUI_housing_data_4.csv","1286456","529628","756828","213130588562","165941.090851192"
"31","WUI_housing_data_40.csv","889140","302612","586528","68299392134","76875.0326513568"
"32","WUI_housing_data_41.csv","570479","163590","406889","129251627374","228914.255863585"
"33","WUI_housing_data_42.csv","1929194","626404","1302790","180606094098","94019.3988365101"
"34","WUI_housing_data_44.csv","191734","65967","125767","49710898983","260130.292951334"
"35","WUI_housing_data_45.csv","1413432","515186","898246","149385562248","106201.337276575"
"36","WUI_housing_data_46.csv","52014","16719","35295","7794560805","153101.703070063"
"37","WUI_housing_data_47.csv","1398101","475455","922646","160569363080","115022.599218757"
"38","WUI_housing_data_48.csv","3901144","1158073","2743071","547411603861","140793.970591556"
"39","WUI_housing_data_49.csv","407738","101756","305982","108052397894","265438.050010809"
"40","WUI_housing_data_5.csv","745536","308985","436551","56055116359","75783.4405096833"
"41","WUI_housing_data_50.csv","106430","53524","52906","23271178487","231289.355334692"
"42","WUI_housing_data_51.csv","1745509","635118","1110391","400642763079","232279.161564627"
"43","WUI_housing_data_53.csv","1025405","328423","696982","239715708493","238598.827382025"
"44","WUI_housing_data_54.csv","756399","404784","351615","29086990997","38459.7466299615"
"45","WUI_housing_data_55.csv","55884","11405","44479","7974167145","144315.756854583"
"46","WUI_housing_data_56.csv","158073","49443","108630","31313724939","198338.769565493"
"47","WUI_housing_data_6.csv","4185409","936832","3248577","1654467792258","403775.131130753"
"48","WUI_housing_data_8.csv","935912","361863","574049","260269922909","282327.614797933"
"49","WUI_housing_data_9.csv","843530","378020","465510","178510175361","212054.933186903"
