DATE,USAGDPDEFAISMEI
1960-01-01,15.8881974252074
1961-01-01,16.0573485953771
1962-01-01,16.2528580702801
1963-01-01,16.4392861042526
1964-01-01,16.6900719195499
1965-01-01,16.995834224984
1966-01-01,17.4718653196515
1967-01-01,17.9785213427256
1968-01-01,18.7440732448473
1969-01-01,19.6633601545777
1970-01-01,20.7010501075885
1971-01-01,21.7502620267422
1972-01-01,22.6905135603686
1973-01-01,23.9338898548424
1974-01-01,26.0876165803949
1975-01-01,28.5040397102232
1976-01-01,30.0727173516984
1977-01-01,31.9412172416214
1978-01-01,34.187923377045
1979-01-01,37.0242524013132
1980-01-01,40.3688089054838
1981-01-01,44.1885413516449
1982-01-01,46.9186229927012
1983-01-01,48.7562970447903
1984-01-01,50.5153167422494
1985-01-01,52.1128428826995
1986-01-01,53.162343517773
1987-01-01,54.4767713451463
1988-01-01,56.3983854470058
1989-01-01,58.6093936661825
1990-01-01,60.8033497823313
1991-01-01,62.859569474087
1992-01-01,64.2920812663123
1993-01-01,65.8153285384936
1994-01-01,67.220749585356
1995-01-01,68.6302543891507
1996-01-01,69.8868893635944
1997-01-01,71.0919954189879
1998-01-01,71.8921567760233
1999-01-01,72.9301356156904
2000-01-01,74.5604951627006
2001-01-01,76.1959180490042
2002-01-01,77.4011435696809
2003-01-01,78.8385809315967
2004-01-01,80.96107112418
2005-01-01,83.4829378900263
2006-01-01,86.0093086729356
2007-01-01,88.3197718581524
2008-01-01,90.0377112013194
2009-01-01,90.7241061514291
2010-01-01,91.7812667443646
2011-01-01,93.6984990541954
2012-01-01,95.4954887940147
2013-01-01,97.1713623979321
2014-01-01,98.9693935396576
2015-01-01,100.0
2016-01-01,101.035279357486
2017-01-01,102.938398906636
2018-01-01,105.445925835181
