% Supporting datasets from Abatzoglou and Williams, Impact of anthropogenic climate change on wildfire across western US forests, PNAS201607171
% forested area burned, units: ha, 2015 estimated from MODIS
% fuel aridity metrics calculated from gridMET (Abatzoglou, 2013)
% Z and Z_NOACC refer to standardized fuel aridity indices calculated across forested regions only using the primary gridded datasets of Abatzoglou (2013) and PRISM
% ZH and ZH_NOACC refer to the percent of forested land with fuel aridity exceeding 1 sigma
% FWSL and FWSL_NOACC refer to the fire weather season length expressed as a percent of normal from 1981-2010 NOACC baseline, data averaged over forested region
% HFD and HFD_NOACC refer to the number of days per year with fire danger indices exceedin the 1981-2010 95th percentile as derived from the 1981-2010 NOACC baseline, data averaged over forested region
% NOACC refers to metrics calculated after excluding the anthropogenic climate signal
% NaN refers to no data for the given metric and year

year, area burned, Z PDSI, Z FWI, Z ERC, Z FFDI, Z ETo, Z CWD, Z KBDI, Z VPD, Z MEAN, ZH PDSI, ZH FWI, ZH ERC, ZH FFDI, ZH ETo, ZH CWD, ZH KBDI, ZH VPD, ZH MEAN, FWSL KBDI, FWSL FFDI, FWSL FWI, FWSL ERC, FWSL MEAN, HFD KBDI, HFD FFDI, HFD FWI, HFD ERC, HFD MEAN, Z_NOACC PDSI, Z_NOACC FWI, Z_NOACC ERC, Z_NOACC FFDI, Z_NOACC ETo, Z_NOACC CWD, Z_NOACC KBDI, Z_NOACC VPD, Z_NOACC MEAN, ZH_NOACC PDSI, ZH_NOACC FWI, ZH_NOACC ERC, ZH_NOACC FFDI, ZH_NOACC ETo, ZH_NOACC CWD, ZH_NOACC KBDI, ZH_NOACC VPD, ZH_NOACC MEAN, FWSL_NOACC KBDI, FWSL_NOACC FFDI, FWSL_NOACC FWI, FWSL_NOACC ERC, FWSL_NOACC MEAN, HFD_NOACC KBDI, HFD_NOACC FFDI, HFD_NOACC FWI, HFD_NOACC ERC, HFD_NOACC MEAN,
1958, NaN, -0.14,  NaN,  NaN,  NaN, 0.68, 0.43,  NaN, 0.55, 0.38, 10.5,  NaN,  NaN,  NaN, 35.9, 30.7,  NaN, 25.4, 25.6,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.19,  NaN,  NaN,  NaN, 0.50, 0.32,  NaN, 0.39, 0.25,  9.1,  NaN,  NaN,  NaN, 29.2, 27.2,  NaN, 21.1, 21.6,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1959, NaN, 0.47,  NaN,  NaN,  NaN, 0.47, 0.34,  NaN, 0.17, 0.36, 29.5,  NaN,  NaN,  NaN, 18.1, 21.2,  NaN, 11.7, 20.1,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.40,  NaN,  NaN,  NaN, 0.29, 0.24,  NaN, 0.05, 0.25, 26.9,  NaN,  NaN,  NaN, 14.4, 18.8,  NaN,  7.2, 16.9,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1960, NaN, 0.53,  NaN,  NaN,  NaN, 1.15, 0.85,  NaN, 1.16, 0.92, 24.1,  NaN,  NaN,  NaN, 64.3, 40.8,  NaN, 57.8, 46.8,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.47,  NaN,  NaN,  NaN, 0.97, 0.76,  NaN, 1.04, 0.81, 22.1,  NaN,  NaN,  NaN, 52.3, 35.2,  NaN, 52.1, 40.4,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1961, NaN, 0.47,  NaN,  NaN,  NaN, 0.40, 0.23,  NaN, 0.52, 0.41, 19.2,  NaN,  NaN,  NaN, 23.0, 19.1,  NaN, 39.5, 25.2,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.42,  NaN,  NaN,  NaN, 0.24, 0.15,  NaN, 0.41, 0.30, 17.3,  NaN,  NaN,  NaN, 12.7, 16.2,  NaN, 36.7, 20.7,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1962, NaN, 0.15,  NaN,  NaN,  NaN, 0.49, 0.21,  NaN, 0.29, 0.28,  0.7,  NaN,  NaN,  NaN, 15.5,  9.7,  NaN, 12.7,  9.7,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.11,  NaN,  NaN,  NaN, 0.33, 0.13,  NaN, 0.20, 0.20,  0.5,  NaN,  NaN,  NaN,  8.2,  7.4,  NaN,  8.2,  6.1,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1963, NaN, -0.26,  NaN,  NaN,  NaN, -0.27, -0.40,  NaN, -0.56, -0.37, 12.5,  NaN,  NaN,  NaN,  2.9,  1.3,  NaN,  0.7,  4.4,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.32,  NaN,  NaN,  NaN, -0.41, -0.47,  NaN, -0.65, -0.46, 10.2,  NaN,  NaN,  NaN,  1.9,  0.9,  NaN,  0.6,  3.4,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1964, NaN, -0.31,  NaN,  NaN,  NaN, -0.62, -0.31,  NaN, -0.69, -0.48,  5.1,  NaN,  NaN,  NaN,  0.8,  3.8,  NaN,  0.5,  2.6,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.36,  NaN,  NaN,  NaN, -0.76, -0.38,  NaN, -0.74, -0.56,  4.4,  NaN,  NaN,  NaN,  0.3,  3.0,  NaN,  0.4,  2.0,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1965, NaN, -0.61,  NaN,  NaN,  NaN, -1.14, -0.84,  NaN, -1.56, -1.04, 12.7,  NaN,  NaN,  NaN,  5.0,  7.1,  NaN,  0.5,  6.3,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.65,  NaN,  NaN,  NaN, -1.27, -0.91,  NaN, -1.61, -1.11, 12.2,  NaN,  NaN,  NaN,  2.4,  5.5,  NaN,  0.1,  5.1,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1966, NaN, 1.03,  NaN,  NaN,  NaN, 1.32, 1.03,  NaN, 0.98, 1.09, 60.6,  NaN,  NaN,  NaN, 64.4, 49.8,  NaN, 47.7, 55.6,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.98,  NaN,  NaN,  NaN, 1.19, 0.95,  NaN, 0.91, 1.01, 58.5,  NaN,  NaN,  NaN, 57.1, 47.1,  NaN, 43.5, 51.5,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
1967, NaN, -0.24,  NaN,  NaN,  NaN, -0.11, 0.24,  NaN, 0.06, -0.01, 15.8,  NaN,  NaN,  NaN, 28.0, 35.6,  NaN, 36.6, 29.0,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, -0.28,  NaN,  NaN,  NaN, -0.24, 0.17,  NaN, -0.01, -0.09, 14.8,  NaN,  NaN,  NaN, 23.8, 34.6,  NaN, 35.4, 27.1,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
